scenario_id,seed,partition,method,round,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
compas_core,3001,iid,B0,1,10,0,1.0,0.6477272727272727,0.6305025057564675,0.20365378855944893,0.10848017621145378,0.24731707317073165,0.00017969451931709735
compas_core,3001,iid,B0,2,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B0,3,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B0,4,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B0,5,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B1,1,10,0,1.0,0.6477272727272727,0.6305025057564675,0.20365378855944893,0.10848017621145378,0.24731707317073165,0.00017969451931709735
compas_core,3001,iid,B1,2,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B1,3,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B1,4,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B1,5,10,0,1.0,0.6452020202020202,0.6278537781991662,0.20365378855944893,0.11288546255506604,0.24331707317073165,0.004013177598083284
compas_core,3001,iid,B3,1,6,4,0.6,0.6452020202020202,0.6247261984456334,0.19538784067085946,0.10127569750367105,0.2395772357723578,0.004013177598083284
compas_core,3001,iid,B3,2,7,3,0.7,0.6464646464646465,0.6262942191544435,0.1974842767295597,0.10127569750367105,0.2435772357723578,0.0019167415393830378
compas_core,3001,iid,B3,3,7,3,0.7,0.6464646464646465,0.6267546369542532,0.20167714884696009,0.10568098384728342,0.2475772357723578,0.0019167415393830378
compas_core,3001,iid,B3,4,7,3,0.7,0.6464646464646465,0.6267546369542532,0.20167714884696009,0.10568098384728342,0.2475772357723578,0.0019167415393830378
compas_core,3001,iid,B3,5,7,3,0.7,0.6452020202020202,0.6265498754058748,0.1963462114405511,0.10928322320117478,0.2313170731707317,0.009284216831386694
