scenario_id,seed,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
compas_core,3001,iid,B0,1,0,296,74,True,False,0.7297297297297297,0.7279411764705883,0.48660714285714285,0.3388888888888888,0.5,0.019345238095238138,,0.9835000091698021
compas_core,3001,iid,B0,1,1,296,74,True,False,0.6621621621621622,0.6433391170233276,0.29848484848484846,0.33333333333333337,0.33333333333333337,0.17575757575757578,,0.697499985108152
compas_core,3001,iid,B0,1,2,296,74,True,True,0.6621621621621622,0.6186353329210472,0.21818181818181825,0.12128146453089239,0.2943722943722944,0.007575757575757569,,0.6645410030614585
compas_core,3001,iid,B0,1,3,296,74,True,False,0.6891891891891891,0.6718719876614614,0.3187739463601533,0.018716577540106916,0.6123188405797101,0.22605363984674332,,0.6618339975830168
compas_core,3001,iid,B0,1,4,295,74,True,True,0.7162162162162162,0.7071791972866026,0.08734693877551014,0.11304347826086947,0.21538461538461534,0.11510204081632647,,0.6854170060250908
compas_core,3001,iid,B0,1,5,295,74,True,False,0.6351351351351351,0.6334617501375894,0.29347826086956524,0.19345238095238093,0.3466666666666666,0.045031055900621175,,0.6422910082619637
compas_core,3001,iid,B0,1,6,295,74,True,True,0.6216216216216216,0.5771428571428572,0.20833333333333337,0.17620137299771166,0.17620137299771166,0.17113095238095233,,0.63233298715204
compas_core,3001,iid,B0,1,7,295,74,True,True,0.6351351351351351,0.5961188599151,0.15327380952380953,0.25,0.25,0.09226190476190477,,0.6333329947665334
compas_core,3001,iid,B0,1,8,295,74,True,True,0.7432432432432432,0.7409250046065966,0.25137903861308114,0.014005602240896309,0.3692307692307692,0.12056737588652489,,0.659875018754974
compas_core,3001,iid,B0,1,9,295,74,True,True,0.6216216216216216,0.6145833333333333,0.2639751552795031,0.34659090909090906,0.34659090909090906,0.14906832298136652,,0.6390839989762753
compas_core,3001,iid,B0,2,0,296,74,True,False,0.7297297297297297,0.7247023809523809,0.3913690476190476,0.22777777777777775,0.41666666666666663,0.019345238095238138,,0.6412089860532433
compas_core,3001,iid,B0,2,1,296,74,True,False,0.6621621621621622,0.6433391170233276,0.29848484848484846,0.33333333333333337,0.33333333333333337,0.17575757575757578,,0.6355420046020299
compas_core,3001,iid,B0,2,2,296,74,True,True,0.6216216216216216,0.5771428571428572,0.18484848484848493,0.11212814645308922,0.24675324675324684,0.019696969696969657,,0.6602909998036921
compas_core,3001,iid,B0,2,3,296,74,True,False,0.7162162162162162,0.7004048582995952,0.3754789272030651,0.07754010695187163,0.6557971014492754,0.21379310344827596,,0.6707079883199185
compas_core,3001,iid,B0,2,4,295,74,True,True,0.7297297297297297,0.7196969696969697,0.12734693877551018,0.046376811594202816,0.21538461538461534,0.07510204081632643,,0.6904579931870103
compas_core,3001,iid,B0,2,5,295,74,True,False,0.6216216216216216,0.6171470805617147,0.2857142857142857,0.14583333333333337,0.39,0.08074534161490687,,0.6821250135544688
