run_id,scenario_id,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,evidence_type,source_file
core-statistics-bootstrap,adult_core,iid,B0,accuracy,10,0.7748605577689243,0.0003544155626604,0.7749003984063745,0.7746414342629483,0.7750664010624169,0.7743027888446216,0.7753652058432935,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B0,macro_f1,10,0.5251355826358907,0.0013930221374349,0.5253372159185996,0.524311211131007,0.5259446676060041,0.5230542760921071,0.5269894593197174,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B0,demographic_parity_gap,10,0.028381336988243,0.0002971233780515,0.0283629145355257,0.028208451978188,0.0285529502894063,0.0279751483840907,0.0288427929505473,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B0,equal_opportunity_gap,10,0.0256097303231768,0.0013536329094243,0.0255233624520249,0.0248279639973929,0.0264301108559044,0.0242052813496236,0.0277959456225141,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B0,equalized_odds_gap,10,0.0256097303231768,0.0013536329094243,0.0255233624520249,0.0248302488617091,0.0264096613202745,0.0242052813496236,0.0277959456225141,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B0,subgroup_accuracy_gap,10,0.1777243099608961,0.0002519840579295,0.1777525875432083,0.1775790425323361,0.1778714930015841,0.1773026676790724,0.1781896293426182,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B0,runtime_ms,10,76.3741918024607,1.095258594495606,76.26245850406121,75.78909864700108,77.06134777428815,75.18816701485775,78.74825000180863,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B1,accuracy,10,0.7748605577689243,0.0003544155626604,0.7749003984063745,0.7746480743691899,0.775066401062417,0.7743027888446216,0.7753652058432935,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B1,macro_f1,10,0.5251355826358907,0.0013930221374349,0.5253372159185996,0.5243240677718033,0.5259238288998925,0.5230542760921071,0.5269894593197174,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
core-statistics-bootstrap,adult_core,iid,B1,demographic_parity_gap,10,0.028381336988243,0.0002971233780515,0.0283629145355257,0.028208451978188,0.0285561537080069,0.0279751483840907,0.0288427929505473,derived,outputs/major_revision/core-statistics-bootstrap/summary_statistics.csv
