run_id,suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,policy_profile,attack_type,evidence_type,source_file
expanded-analysis-6df6bfb,mlp,iid,B0,accuracy,5,0.5513811420982736,0.110600945112374,0.4904382470119522,0.4686852589641434,0.6379814077025233,0.4561752988047808,0.6968791500664011,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B0,macro_f1,5,0.4716775217722462,0.0807425741045292,0.4385543441908486,0.4107410440634852,0.5374058452372621,0.3851522032555038,0.5761740823857159,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B0,demographic_parity_gap,5,0.0959766257909804,0.0569691885235928,0.0913998578719005,0.0544511656664535,0.1422334427654572,0.0407806185366582,0.1817322806404714,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B0,equal_opportunity_gap,5,0.0830870344803161,0.05510003918221,0.0824567546586955,0.0399089253083566,0.1262651436522756,0.0273686759953868,0.1527757388537178,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B0,equalized_odds_gap,5,0.0981589472954843,0.067874938930924,0.0930658015700329,0.0490135577815153,0.1530229250849715,0.0273686759953868,0.2000691982909936,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B0,subgroup_accuracy_gap,5,0.0833366969420874,0.0538551558262348,0.0811052292144073,0.0424186642393854,0.1245730344838667,0.0300512649278484,0.158669090925576,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B0,runtime_ms,5,111.81859179632738,3.416730555103447,112.80912498477846,109.12547539919616,114.51170819345862,107.98579198308288,115.08491699350998,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,accuracy,5,0.4702124833997343,0.1577465207375156,0.398140770252324,0.3534926958831341,0.600597609561753,0.3408366533864542,0.6969455511288181,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,macro_f1,5,0.4236246520799455,0.1115500913741464,0.3726800730247869,0.3398332268518038,0.5151258974244362,0.3224315149321836,0.5763089073397123,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,demographic_parity_gap,5,0.0901901462304249,0.0405410978546589,0.1123883552526887,0.0582479200370871,0.1206793014656862,0.0410309183678934,0.1293846124497869,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,equal_opportunity_gap,5,0.0824046597522863,0.0660576050809797,0.0806614225222502,0.0298926513622646,0.1349166681423081,0.0091434557773079,0.1550514637126417,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,equalized_odds_gap,5,0.0957769272240707,0.0539846223136611,0.0930658015700329,0.0541563104962767,0.1373975439518646,0.0252574613672285,0.1550514637126417,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,subgroup_accuracy_gap,5,0.0530948286325756,0.0625595223765722,0.042030392593821,0.0136667398763918,0.1064212818966043,0.0040690472083575,0.1588726325498382,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B3,runtime_ms,5,111.84090038295837,2.1533799778180063,110.998916963581,110.19146699691191,113.54195057647304,109.81499997433276,114.65958395274356,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,accuracy,5,0.5518193891102257,0.1117457144683489,0.4903054448871182,0.4683665338645418,0.6425498007968129,0.4551128818061088,0.699535192563081,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,macro_f1,5,0.471548345958008,0.0803977093855346,0.4377025140014314,0.4109819081949918,0.5355633301127698,0.3858544556795763,0.5759144077016306,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,demographic_parity_gap,5,0.0948840483724984,0.0570451436584721,0.0896066174477196,0.0533247121175828,0.1411348194767128,0.0413184482429475,0.1810894606058696,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,equal_opportunity_gap,5,0.0815779958426893,0.0561967117724021,0.0844337335082778,0.0377681216873037,0.125387869998075,0.0232553490101682,0.1530939062097471,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,equalized_odds_gap,5,0.0959706046542644,0.0687309965660387,0.0916914065634277,0.0465323147787935,0.1527883059440744,0.0232553490101682,0.1995176310113229,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,subgroup_accuracy_gap,5,0.0834112813973285,0.0541049986937905,0.0808160143589218,0.0424842340493182,0.1252038710981143,0.0299462745995358,0.1598626187311932,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,iid,B5,runtime_ms,5,155.00669181346893,4.158156621775378,155.39508301299065,151.533116819337,157.75126680964604,148.11629202449694,158.61712500918657,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B0,accuracy,5,0.5513545816733068,0.1107225679923275,0.4915006640106241,0.4683930942895086,0.6406772908366534,0.4557768924302788,0.6969455511288181,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B0,macro_f1,5,0.4714403389323648,0.0808178918418018,0.4380336669079313,0.4105381678026015,0.5373823171217716,0.3845382344268267,0.5761408961408961,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B0,demographic_parity_gap,5,0.0958373661701784,0.0571636759209863,0.0921283511377258,0.0540980619696084,0.1419875118477694,0.0402170327009167,0.1815480561132986,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B0,equal_opportunity_gap,5,0.0827870317956005,0.0543681136368598,0.0821385873026662,0.040054356922082,0.1255197066691191,0.0275731713516857,0.150548567361513,,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
