run_id,scenario_id,seed,client_count,partition,policy_profile,method,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,runtime_ms,evidence_type,source_file
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7004,10,joint_dirichlet_0.3,strict,B3,0.754581673306773,0.431122312153247,0.0003942051837981,0.001272669424117,0.001272669424117,0.1959798332715874,71.6883749992121,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7005,10,joint_dirichlet_0.3,lenient,B3,0.7597609561752988,0.4542329194696698,0.0060457900252408,0.0065455650498014,0.0065455650498014,0.1913137613896403,73.8608330138959,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7005,10,joint_dirichlet_0.3,submitted,B3,0.7592297476759629,0.4510420634164921,0.0050731551304715,0.0069545557623992,0.0069545557623992,0.1914979859168132,73.296249989653,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7005,10,joint_dirichlet_0.3,moderate,B3,0.7588313413014608,0.4491335336589591,0.0048889306032986,0.0089543832551433,0.0089543832551433,0.191485107852087,73.74820800032467,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7005,10,joint_dirichlet_0.3,strict,B3,0.2456839309428951,0.197228144989339,0.0,0.0,0.0,0.1963740384553856,73.1400000222493,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7006,10,joint_dirichlet_0.3,lenient,B3,0.7730411686586985,0.5186766089332585,0.0303319746440132,0.0427720887829727,0.0427720887829727,0.1776453606039659,73.82333299028687,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7006,10,joint_dirichlet_0.3,submitted,B3,0.7638778220451528,0.4730672907624917,0.0121173361799339,0.0164544503730326,0.0164544503730326,0.1870161385620389,72.961124998983,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7006,10,joint_dirichlet_0.3,moderate,B3,0.7630146082337318,0.469622024108872,0.0111382622528015,0.0144317742371266,0.0144317742371266,0.1879952124891712,70.09858297533356,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7006,10,joint_dirichlet_0.3,strict,B3,0.2456839309428951,0.197228144989339,0.0,0.0,0.0,0.1963740384553856,69.78595798136666,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7007,10,joint_dirichlet_0.3,lenient,B3,0.7720451527224436,0.5124640815663627,0.026291371510082,0.0338634028141531,0.0338634028141531,0.1791236300432092,69.4245419872459,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7007,10,joint_dirichlet_0.3,submitted,B3,0.7618857901726428,0.4641309862607977,0.0080702940136396,0.0035232607755629,0.0035232607755629,0.1902747703607368,69.69541701255366,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7007,10,joint_dirichlet_0.3,moderate,B3,0.7592961487383798,0.4510689161520778,0.004974603834522,0.0069545557623992,0.0069545557623992,0.1913994346208637,73.70295899454504,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7007,10,joint_dirichlet_0.3,strict,B3,0.7560424966799468,0.4373788411629686,0.0022602407744763,0.0061588517642865,0.0061588517642865,0.1941137976809092,69.87695800489746,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7008,10,joint_dirichlet_0.3,lenient,B3,0.7643426294820718,0.4749135511802035,0.0109946377303104,0.0081141244028649,0.0081141244028649,0.1875346511712389,73.3799579902552,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7008,10,joint_dirichlet_0.3,submitted,B3,0.7594289508632138,0.4516206541086238,0.0045675205859976,0.0033638914895087,0.0033638914895087,0.191806517869388,71.75949998782016,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7008,10,joint_dirichlet_0.3,moderate,B3,0.7588313413014608,0.4491335336589591,0.0042847447628752,0.0047273842701943,0.0047273842701943,0.1920892936925105,72.73720798548311,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7008,10,joint_dirichlet_0.3,strict,B3,0.2456839309428951,0.197228144989339,0.0,0.0,0.0,0.1963740384553856,70.79474997590296,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7009,10,joint_dirichlet_0.3,lenient,B3,0.7706507304116866,0.5056848498260834,0.0232491594003724,0.0288635484742533,0.0288635484742533,0.180589021417726,72.19395798165351,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7009,10,joint_dirichlet_0.3,submitted,B3,0.7595617529880478,0.4534101806970298,0.0057501361373921,0.0055910629817136,0.0055910629817136,0.1916094152774889,72.33654201263562,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7009,10,joint_dirichlet_0.3,moderate,B3,0.7606241699867198,0.4580278149357749,0.0066177807038488,0.0046594095567877,0.0046594095567877,0.1909388733029313,74.77470900630578,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7009,10,joint_dirichlet_0.3,strict,B3,0.2456839309428951,0.197228144989339,0.0,0.0,0.0,0.1963740384553856,75.8444580133073,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7010,10,joint_dirichlet_0.3,lenient,B3,0.7645418326693227,0.4757029135155979,0.0121965703787942,0.0132956254559018,0.0132956254559018,0.1869369043631786,68.20262499968521,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7010,10,joint_dirichlet_0.3,submitted,B3,0.7605577689243028,0.4579992418067866,0.0073205178402217,0.0088864085417367,0.0088864085417367,0.1904332387584574,67.8302499873098,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7010,10,joint_dirichlet_0.3,moderate,B3,0.7665338645418327,0.4862134202231115,0.0157057828387992,0.0182046564392331,0.0182046564392331,0.1845845513251157,68.79095899057575,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
threshold-sensitivity-10seed-aa165b3,threshold_sensitivity,7010,10,joint_dirichlet_0.3,strict,B3,0.7576361221779548,0.4441259006446719,0.0031150072762068,0.0032273708466164,0.0032273708466164,0.1932590311791787,67.9349169950001,measured_B3_policy_effect,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
