run_id,suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,evidence_type,source_file
fairfed-scaling-analysis,adult,iid,B3,subgroup_accuracy_gap,10,0.1777572914469129,0.0002636887669597,0.1777954241588201,0.177592313759163,0.1779038305843646,0.177210555415486,0.1781831903102552,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B3,runtime_ms,10,90.12392069562338,5.279391798364655,90.3337080089841,87.06392281586886,93.24127152198344,82.75704097468406,98.4379579895176,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,accuracy,10,0.7748539176626826,0.0004889992322285,0.774867197875166,0.774574867197875,0.7751460823373174,0.7742363877822045,0.7756308100929615,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,macro_f1,10,0.5254167058468324,0.0022064538693258,0.5253152846978107,0.5241212713052822,0.5267179059157824,0.522773554653668,0.5288843954555036,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,demographic_parity_gap,10,0.0285660088376019,0.0007084844945652,0.0282675827557578,0.0282110275911332,0.0290174130892609,0.0279815874164538,0.0303275014221535,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,equal_opportunity_gap,10,0.0260869813572207,0.001732390518245,0.0263187808420981,0.0250961499465055,0.0271324767186606,0.0233644512812662,0.029295959046092,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,equalized_odds_gap,10,0.0260869813572207,0.001732390518245,0.0263187808420981,0.0250757004108756,0.0271233943830037,0.0233644512812662,0.029295959046092,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,subgroup_accuracy_gap,10,0.1776133279224064,0.0004657994824539,0.1776047605992841,0.1773485272298153,0.1778984827774238,0.1768227892640509,0.17849172226283,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,iid,B5,runtime_ms,10,133.97708329139277,10.49325233993132,132.89791697752662,128.43509513302706,140.50733257754473,123.2448749942705,157.29758300585672,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,joint_dirichlet_0.3,B0,accuracy,10,0.7752058432934926,0.0038763916823678,0.7736387782204515,0.7732934926958832,0.7777091633466136,0.7725099601593626,0.7835989375830014,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
fairfed-scaling-analysis,adult,joint_dirichlet_0.3,B0,macro_f1,10,0.5272404660049566,0.0174540919003153,0.5202385772742579,0.5186091742243994,0.5385906216149329,0.5147647595305769,0.5660584369446567,,derived_from_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/descriptive_statistics.csv
