run_id,scenario_id,seed,client_count,partition,policy_profile,attack_type,method,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,runtime_ms,evidence_type,source_file
adversarial-5seed-e8733cb,adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B0,0.7346613545816733,0.7091277918937449,0.4550497068224316,0.3359076137962392,0.3623920268045703,0.2050029034820542,81.73700000043027,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B0,0.7195219123505976,0.5882241025156107,0.0133801888947312,0.0749652557819919,0.0749652557819919,0.0806554397356619,83.0770839820616,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B6,0.7611553784860557,0.4611661070236427,0.0087987872794648,0.012704416814088,0.012704416814088,0.1895462770949115,83.0121669860091,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B6,0.7618193891102257,0.4633836795337206,0.0081817233743153,0.0067957576924241,0.0067957576924241,0.1897691358162629,83.12520899926312,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B6,0.7627490039840638,0.4673782229816423,0.0094564511892962,0.0094547685403886,0.0094547685403886,0.1886915105931811,82.27549999719486,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B6,0.7606241699867198,0.4582712137095431,0.0074190691361713,0.009204575897766,0.009204575897766,0.1903346874625079,82.66083398484625,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10004,10,joint_dirichlet_0.3,submitted,none,B0,0.7785524568393094,0.5409307730011162,0.0351243197618657,0.0401364977942491,0.0401364977942491,0.1727886251624828,76.26949998666532,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10004,10,joint_dirichlet_0.3,submitted,label_flip,B0,0.7906374501992032,0.6001250551853374,0.061267593527597,0.071454561760168,0.071454561760168,0.156966939741148,79.40854202024639,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10004,10,joint_dirichlet_0.3,submitted,sign_flip,B0,0.7893758300132803,0.593504571626125,0.0590781821091144,0.073840531322348,0.073840531322348,0.1582352285237659,77.202499989653,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
adversarial-5seed-e8733cb,adversarial,10004,10,joint_dirichlet_0.3,submitted,random_weights,B0,0.7479415670650731,0.6784780510630831,0.2000930309791074,0.1858874213078449,0.1858874213078449,0.1170196443243009,78.13400001032278,measured,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
