scenario_id,seed,client_count,partition,method,round,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
heterogeneity_entropy,6001,10,iid,B0,1,10,0,1.0,0.7657458563535912,0.4971893339774006,0.017995060249447598,0.02613126198073093,0.02613126198073093,0.18238950405510568
heterogeneity_entropy,6001,10,iid,B0,2,10,0,1.0,0.7679558011049724,0.5053571859875721,0.02025792414603906,0.029528013836768584,0.029528013836768584,0.1801266401585141
heterogeneity_entropy,6001,10,iid,B0,3,10,0,1.0,0.7690607734806629,0.5100644716767557,0.021539433773739458,0.028753754222524713,0.028753754222524713,0.1794993667100745
heterogeneity_entropy,6001,10,iid,B0,4,10,0,1.0,0.7714917127071823,0.5194721192462156,0.025791968938934096,0.04126678863336934,0.04126678863336934,0.1759010677241405
heterogeneity_entropy,6001,10,iid,B0,5,10,0,1.0,0.7739226519337017,0.5293254760736192,0.029690423283677346,0.047791799092118156,0.047791799092118156,0.17331108573791865
heterogeneity_entropy,6001,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.7657458563535912,0.4971893339774006,0.017995060249447598,0.02613126198073093,0.02613126198073093,0.18238950405510568
heterogeneity_entropy,6001,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.7681767955801105,0.5061672330935187,0.02058504223566942,0.03057076670433897,0.03057076670433897,0.17979952206888372
heterogeneity_entropy,6001,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.7695027624309392,0.5116677932773984,0.02219366995300017,0.030839259957665482,0.030839259957665482,0.17884513053081375
heterogeneity_entropy,6001,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7710497237569061,0.5185426649314114,0.025791968938934096,0.04022403576579896,0.04022403576579896,0.17655530390340124
heterogeneity_entropy,6001,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7734806629834254,0.5284052912761092,0.029690423283677346,0.04674904622454777,0.04674904622454777,0.1739653219171794
heterogeneity_entropy,6001,10,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7644198895027624,0.4915194383538539,0.015378115532404747,0.018831991907738224,0.018831991907738224,0.1843522125928878
heterogeneity_entropy,6001,10,joint_dirichlet_0.3,B0,2,10,0,1.0,0.7661878453038674,0.49883277851056257,0.01864929642870831,0.0282167677158717,0.0282167677158717,0.18173526787584493
heterogeneity_entropy,6001,10,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7683977900552487,0.5069760672031273,0.01990384332558768,0.02458274275224316,0.02458274275224316,0.1804807209789655
heterogeneity_entropy,6001,10,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7708287292817679,0.5164492826280352,0.02415637849078231,0.037095777163087804,0.037095777163087804,0.1768824219930316
heterogeneity_entropy,6001,10,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7717127071823204,0.5202597150146729,0.02611908702856445,0.042309541500939726,0.042309541500939726,0.17557394963451023
heterogeneity_entropy,6002,10,iid,B0,1,10,0,1.0,0.7659668508287293,0.49801167799376267,0.018322178339077955,0.027174014848301314,0.027174014848301314,0.1820623859654753
heterogeneity_entropy,6002,10,iid,B0,2,10,0,1.0,0.7679558011049724,0.5053571859875721,0.02025792414603906,0.029528013836768584,0.029528013836768584,0.1801266401585141
heterogeneity_entropy,6002,10,iid,B0,3,10,0,1.0,0.7699447513812154,0.5132663534352591,0.022847906132260884,0.03292476569280625,0.03292476569280625,0.178190894351553
heterogeneity_entropy,6002,10,iid,B0,4,10,0,1.0,0.7712707182320442,0.5193308858085057,0.02611908702856445,0.04126678863336934,0.04126678863336934,0.17622818581377087
heterogeneity_entropy,6002,10,iid,B0,5,10,0,1.0,0.7737016574585636,0.529177654147171,0.0300175413733077,0.047791799092118156,0.047791799092118156,0.17363820382754902
heterogeneity_entropy,6002,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.7650828729281768,0.49471480982507005,0.01701370598055653,0.023003003378019762,0.023003003378019762,0.1833708583239967
heterogeneity_entropy,6002,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.7675138121546962,0.5037334407536771,0.019603687966778346,0.027442508101627815,0.027442508101627815,0.18078087633777484
heterogeneity_entropy,6002,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.7688397790055249,0.5085901084078368,0.020558079504848392,0.026668248487383944,0.026668248487383944,0.17982648479970476
heterogeneity_entropy,6002,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7712707182320442,0.5180336978921452,0.024810614670043023,0.03918128289822857,0.03918128289822857,0.17622818581377087
heterogeneity_entropy,6002,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7725966850828729,0.5240359920165394,0.028081795566346587,0.04752330583879165,0.04752330583879165,0.17426547727598873
heterogeneity_entropy,6002,10,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7646408839779005,0.49164109378614607,0.01605931444248649,0.018831991907738224,0.018831991907738224,0.18503341150296948
heterogeneity_entropy,6002,10,joint_dirichlet_0.3,B0,2,10,0,1.0,0.7664088397790055,0.4996526386231329,0.018976414518338668,0.029259520583442084,0.029259520583442084,0.18140814978621456
heterogeneity_entropy,6002,10,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7683977900552487,0.5069760672031273,0.01990384332558768,0.02458274275224316,0.02458274275224316,0.1804807209789655
heterogeneity_entropy,6002,10,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7697237569060773,0.512467667074473,0.022520788042630524,0.03188201282523587,0.03188201282523587,0.17851801244118337
heterogeneity_entropy,6002,10,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7712707182320442,0.5186833637176744,0.025464850849303736,0.04022403576579896,0.04022403576579896,0.17622818581377087
heterogeneity_entropy,6003,10,iid,B0,1,10,0,1.0,0.7664088397790055,0.49895972015052603,0.018322178339077955,0.0282167677158717,0.0282167677158717,0.18140814978621456
heterogeneity_entropy,6003,10,iid,B0,2,10,0,1.0,0.7677348066298343,0.504545922879487,0.019930806056408706,0.0284852609691982,0.0284852609691982,0.18045375824814447
heterogeneity_entropy,6003,10,iid,B0,3,10,0,1.0,0.7701657458563536,0.5134034297096468,0.022520788042630524,0.03292476569280625,0.03292476569280625,0.17786377626192262
heterogeneity_entropy,6003,10,iid,B0,4,10,0,1.0,0.7712707182320442,0.5193308858085057,0.02611908702856445,0.04126678863336934,0.04126678863336934,0.17622818581377087
heterogeneity_entropy,6003,10,iid,B0,5,10,0,1.0,0.7732596685082873,0.5270034843205575,0.028709069014786273,0.044663540489407,0.044663540489407,0.17429244000680966
heterogeneity_entropy,6003,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.7661878453038674,0.4981380333472546,0.017995060249447598,0.027174014848301314,0.027174014848301314,0.18173526787584493
heterogeneity_entropy,6003,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.7679558011049724,0.5053571859875721,0.02025792414603906,0.029528013836768584,0.029528013836768584,0.1801266401585141
heterogeneity_entropy,6003,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.769281767955801,0.5101993334538801,0.021212315684109105,0.028753754222524713,0.028753754222524713,0.17917224862044412
heterogeneity_entropy,6003,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7710497237569061,0.5185426649314114,0.025791968938934096,0.04022403576579896,0.04022403576579896,0.17655530390340124
heterogeneity_entropy,6003,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7734806629834254,0.5271498681448391,0.02838195092515592,0.044663540489407,0.044663540489407,0.1739653219171794
heterogeneity_entropy,6003,10,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7650828729281768,0.49471480982507005,0.01701370598055653,0.023003003378019762,0.023003003378019762,0.1833708583239967
heterogeneity_entropy,6003,10,joint_dirichlet_0.3,B0,2,10,0,1.0,0.767292817679558,0.5029197365847298,0.019276569877147993,0.02639975523405743,0.02639975523405743,0.18110799442740522
heterogeneity_entropy,6003,10,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7683977900552487,0.5069760672031273,0.01990384332558768,0.02458274275224316,0.02458274275224316,0.1804807209789655
heterogeneity_entropy,6003,10,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7714917127071823,0.5188241532308822,0.025137732759673376,0.04022403576579896,0.04022403576579896,0.1759010677241405
heterogeneity_entropy,6003,10,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7721546961325967,0.5224722177611234,0.027427559387085874,0.04543780010365088,0.04543780010365088,0.17491971345524948
heterogeneity_entropy,6004,10,iid,B0,1,10,0,1.0,0.7664088397790055,0.49895972015052603,0.018322178339077955,0.0282167677158717,0.0282167677158717,0.18140814978621456
heterogeneity_entropy,6004,10,iid,B0,2,10,0,1.0,0.7683977900552487,0.5069760672031273,0.02091216032529978,0.03161351957190937,0.03161351957190937,0.17947240397925335
heterogeneity_entropy,6004,10,iid,B0,3,10,0,1.0,0.7695027624309392,0.512992457204228,0.023502142311521597,0.03292476569280625,0.03292476569280625,0.17884513053081375
heterogeneity_entropy,6004,10,iid,B0,4,10,0,1.0,0.7721546961325967,0.5224722177611234,0.02641924238737378,0.03840702328398468,0.03840702328398468,0.17592803045496153
heterogeneity_entropy,6004,10,iid,B0,5,10,0,1.0,0.7734806629834254,0.5290299323976126,0.03034465946293806,0.047791799092118156,0.047791799092118156,0.1739653219171794
heterogeneity_entropy,6004,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.7659668508287293,0.49801167799376267,0.018322178339077955,0.027174014848301314,0.027174014848301314,0.1820623859654753
heterogeneity_entropy,6004,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.7677348066298343,0.504545922879487,0.019930806056408706,0.0284852609691982,0.0284852609691982,0.18045375824814447
heterogeneity_entropy,6004,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.7690607734806629,0.5100644716767557,0.021539433773739458,0.028753754222524713,0.028753754222524713,0.1794993667100745
heterogeneity_entropy,6004,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7712707182320442,0.5186833637176744,0.025464850849303736,0.04022403576579896,0.04022403576579896,0.17622818581377087
heterogeneity_entropy,6004,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7728176795580111,0.5248161659548665,0.028408913655976947,0.04856605870636205,0.04856605870636205,0.17393835918635836
heterogeneity_entropy,6004,10,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7646408839779005,0.49305885235246044,0.016359469801295816,0.020917497642878993,0.020917497642878993,0.18402509450325744
heterogeneity_entropy,6004,10,joint_dirichlet_0.3,B0,2,10,0,1.0,0.7668508287292818,0.5012886499663982,0.01963065069759938,0.03134502631858285,0.03134502631858285,0.1807539136069538
heterogeneity_entropy,6004,10,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7683977900552487,0.5069760672031273,0.02091216032529978,0.03161351957190937,0.03161351957190937,0.17947240397925335
heterogeneity_entropy,6004,10,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7706077348066298,0.5156553169794884,0.02382926040115195,0.036053024295517405,0.036053024295517405,0.177209540082662
heterogeneity_entropy,6004,10,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7717127071823204,0.5209038564763012,0.02677332320782516,0.04335229436851011,0.04335229436851011,0.17557394963451023
heterogeneity_entropy,6005,10,iid,B0,1,10,0,1.0,0.7661878453038674,0.4981380333472546,0.017995060249447598,0.027174014848301314,0.027174014848301314,0.18173526787584493
heterogeneity_entropy,6005,10,iid,B0,2,10,0,1.0,0.7679558011049724,0.5053571859875721,0.02025792414603906,0.029528013836768584,0.029528013836768584,0.1801266401585141
heterogeneity_entropy,6005,10,iid,B0,3,10,0,1.0,0.7697237569060773,0.512467667074473,0.022520788042630524,0.03188201282523587,0.03188201282523587,0.17851801244118337
heterogeneity_entropy,6005,10,iid,B0,4,10,0,1.0,0.7717127071823204,0.5209038564763012,0.02576500620811307,0.03632151754884391,0.03632151754884391,0.17658226663422216
heterogeneity_entropy,6005,10,iid,B0,5,10,0,1.0,0.7734806629834254,0.5277786064224248,0.029036187104416633,0.04570629335697739,0.04570629335697739,0.1739653219171794
heterogeneity_entropy,6005,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.7664088397790055,0.4996526386231329,0.018976414518338668,0.029259520583442084,0.029259520583442084,0.18140814978621456
heterogeneity_entropy,6005,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.7681767955801105,0.5061672330935187,0.02058504223566942,0.03057076670433897,0.03057076670433897,0.17979952206888372
heterogeneity_entropy,6005,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.7703867403314917,0.5148601754891591,0.023502142311521597,0.03501027142794702,0.03501027142794702,0.17753665817229236
heterogeneity_entropy,6005,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7714917127071823,0.5201179487179487,0.02644620511819481,0.042309541500939726,0.042309541500939726,0.1759010677241405
heterogeneity_entropy,6005,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7734806629834254,0.5277786064224248,0.029036187104416633,0.04570629335697739,0.04570629335697739,0.1739653219171794
heterogeneity_entropy,6005,10,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7661878453038674,0.4974409372774546,0.018349141069898985,0.02613126198073093,0.02613126198073093,0.18274358487555697
heterogeneity_entropy,6005,10,joint_dirichlet_0.3,B0,2,10,0,1.0,0.767292817679558,0.5029197365847298,0.019276569877147993,0.02639975523405743,0.02639975523405743,0.18110799442740522
heterogeneity_entropy,6005,10,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7683977900552487,0.5069760672031273,0.01990384332558768,0.02458274275224316,0.02458274275224316,0.1804807209789655
heterogeneity_entropy,6005,10,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7708287292817679,0.5164492826280352,0.02415637849078231,0.037095777163087804,0.037095777163087804,0.1768824219930316
heterogeneity_entropy,6005,10,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7730386740331492,0.5262272337412193,0.029390267924868013,0.05065156444150282,0.05065156444150282,0.173611241096728
heterogeneity_entropy,6006,10,iid,B0,1,10,0,1.0,0.7661878453038674,0.49883277851056257,0.01864929642870831,0.0282167677158717,0.0282167677158717,0.18173526787584493
heterogeneity_entropy,6006,10,iid,B0,2,10,0,1.0,0.7683977900552487,0.5069760672031273,0.02091216032529978,0.03161351957190937,0.03161351957190937,0.17947240397925335
heterogeneity_entropy,6006,10,iid,B0,3,10,0,1.0,0.7701657458563536,0.5140638552723968,0.023175024221891237,0.033967518560376636,0.033967518560376636,0.17786377626192262
heterogeneity_entropy,6006,10,iid,B0,4,10,0,1.0,0.7714917127071823,0.5201179487179487,0.02644620511819481,0.042309541500939726,0.042309541500939726,0.1759010677241405
heterogeneity_entropy,6006,10,iid,B0,5,10,0,1.0,0.7739226519337017,0.5299488983831784,0.03034465946293806,0.04883455195968854,0.04883455195968854,0.17331108573791865
heterogeneity_entropy,6006,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.7657458563535912,0.4964909201456539,0.017340824070186885,0.02508850911316053,0.02508850911316053,0.18238950405510568
heterogeneity_entropy,6006,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.7677348066298343,0.504545922879487,0.019930806056408706,0.0284852609691982,0.0284852609691982,0.18045375824814447
heterogeneity_entropy,6006,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.7695027624309392,0.511002147329049,0.021539433773739458,0.029796507090095098,0.029796507090095098,0.17884513053081375
heterogeneity_entropy,6006,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7710497237569061,0.5178934455968993,0.025137732759673376,0.03918128289822857,0.03918128289822857,0.17655530390340124
heterogeneity_entropy,6006,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7734806629834254,0.5277786064224248,0.029036187104416633,0.04570629335697739,0.04570629335697739,0.1739653219171794
heterogeneity_entropy,6006,10,joint_dirichlet_0.3,B0,1,9,1,0.9,0.7650828729281768,0.4933045079710596,0.016713550621747203,0.020917497642878993,0.020917497642878993,0.18437917532370873
heterogeneity_entropy,6006,10,joint_dirichlet_0.3,B0,2,9,1,0.9,0.7670718232044199,0.5021048073373655,0.018949451787517634,0.025357002366487046,0.025357002366487046,0.18143511251703548
heterogeneity_entropy,6006,10,joint_dirichlet_0.3,B0,3,9,1,0.9,0.7686187845303868,0.507783691312451,0.020230961415218032,0.02562549561981356,0.02562549561981356,0.18015360288933513
heterogeneity_entropy,6006,10,joint_dirichlet_0.3,B0,4,9,1,0.9,0.7708287292817679,0.5164492826280352,0.02415637849078231,0.037095777163087804,0.037095777163087804,0.1768824219930316
heterogeneity_entropy,6006,10,joint_dirichlet_0.3,B0,5,9,1,0.9,0.7723756906077348,0.5232546768759672,0.027754677476716234,0.046480552971221265,0.046480552971221265,0.1745925953656191
heterogeneity_entropy,6007,10,iid,B0,1,10,0,1.0,0.7657458563535912,0.4971893339774006,0.017995060249447598,0.02613126198073093,0.02613126198073093,0.18238950405510568
heterogeneity_entropy,6007,10,iid,B0,2,10,0,1.0,0.7679558011049724,0.5053571859875721,0.02025792414603906,0.029528013836768584,0.029528013836768584,0.1801266401585141
heterogeneity_entropy,6007,10,iid,B0,3,10,0,1.0,0.7688397790055249,0.5092610180007267,0.021212315684109105,0.02771100135495433,0.02771100135495433,0.17982648479970476
heterogeneity_entropy,6007,10,iid,B0,4,10,0,1.0,0.7710497237569061,0.5185426649314114,0.025791968938934096,0.04022403576579896,0.04022403576579896,0.17655530390340124
heterogeneity_entropy,6007,10,iid,B0,5,10,0,1.0,0.7734806629834254,0.5284052912761092,0.029690423283677346,0.04674904622454777,0.04674904622454777,0.1739653219171794
heterogeneity_entropy,6007,10,joint_dirichlet_1.0,B0,1,10,0,1.0,0.765524861878453,0.4956654875111941,0.01701370598055653,0.024045756245590147,0.024045756245590147,0.18271662214473594
heterogeneity_entropy,6007,10,joint_dirichlet_1.0,B0,2,10,0,1.0,0.767292817679558,0.5029197365847298,0.019276569877147993,0.02639975523405743,0.02639975523405743,0.18110799442740522
heterogeneity_entropy,6007,10,joint_dirichlet_1.0,B0,3,10,0,1.0,0.7683977900552487,0.5069760672031273,0.01990384332558768,0.02458274275224316,0.02458274275224316,0.1804807209789655
heterogeneity_entropy,6007,10,joint_dirichlet_1.0,B0,4,10,0,1.0,0.7712707182320442,0.5180336978921452,0.024810614670043023,0.03918128289822857,0.03918128289822857,0.17622818581377087
heterogeneity_entropy,6007,10,joint_dirichlet_1.0,B0,5,10,0,1.0,0.7728176795580111,0.5248161659548665,0.028408913655976947,0.04856605870636205,0.04856605870636205,0.17393835918635836
heterogeneity_entropy,6007,10,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7653038674033149,0.49413431391620916,0.01704066871137756,0.021960250510449378,0.021960250510449378,0.18405205723407836
heterogeneity_entropy,6007,10,joint_dirichlet_0.3,B0,2,10,0,1.0,0.7668508287292818,0.5012886499663982,0.01963065069759938,0.03134502631858285,0.03134502631858285,0.1807539136069538
heterogeneity_entropy,6007,10,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7686187845303868,0.507783691312451,0.020230961415218032,0.02562549561981356,0.02562549561981356,0.18015360288933513
heterogeneity_entropy,6007,10,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7703867403314917,0.5155166872232677,0.02415637849078231,0.036053024295517405,0.036053024295517405,0.17753665817229236
