scenario_id,seed,client_count,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
heterogeneity_entropy,6001,10,iid,B0,1,0,2051,513,True,True,0.7602339181286549,0.4943382618103137,0.00812471789173987,0.049707602339181284,0.049707602339181284,0.21197180653449532,,14.516583003569394
heterogeneity_entropy,6001,10,iid,B0,1,1,2051,513,True,True,0.7758284600389863,0.5215056815877624,0.005401128388606027,0.07298907646474677,0.07298907646474677,0.1842920049539012,,1.5290000010281801
heterogeneity_entropy,6001,10,iid,B0,1,2,2051,513,True,True,0.7777777777777778,0.47712967598884204,0.01744186046511628,0.05,0.05,0.17256089170221556,,1.990082993870601
heterogeneity_entropy,6001,10,iid,B0,1,3,2051,513,True,True,0.7680311890838206,0.4924803591470258,0.017133363331141183,0.005396654074473831,0.005396654074473831,0.20187947803814343,,1.859375013737008
heterogeneity_entropy,6001,10,iid,B0,1,4,2051,513,True,True,0.7524366471734892,0.48403012615923147,0.029239766081871343,0.07207207207207207,0.07207207207207207,0.19590643274853803,,1.6244160069618374
heterogeneity_entropy,6001,10,iid,B0,1,5,2051,513,True,True,0.7543859649122807,0.46597818902842036,0.00020641254988303277,0.02342529932326913,0.02342529932326913,0.21626874913994776,,1.2347919982858002
heterogeneity_entropy,6001,10,iid,B0,1,6,2051,513,True,True,0.7602339181286549,0.48821912030691117,0.019134420637458696,0.014220183486238533,0.014220183486238533,0.1742884553885513,,2.5502080097794533
heterogeneity_entropy,6001,10,iid,B0,1,7,2050,513,True,True,0.7777777777777778,0.47712967598884204,0.014534883720930232,0.050505050505050504,0.050505050505050504,0.15491261868721617,,1.2424169981386513
heterogeneity_entropy,6001,10,iid,B0,1,8,2050,513,True,True,0.7504873294346979,0.5161803713527852,0.0295952932786593,0.011937557392102838,0.01282051282051282,0.21422713496166879,,1.2194169976282865
heterogeneity_entropy,6001,10,iid,B0,1,9,2050,513,True,True,0.7738791423001949,0.5143948296122209,0.022913710151950435,0.04978354978354978,0.04978354978354978,0.14881797099442728,,1.1936249793507159
heterogeneity_entropy,6001,10,iid,B0,2,0,2051,513,True,True,0.7582846003898636,0.4871654305062883,0.005242873511336413,0.05847953216374269,0.05847953216374269,0.21485365091489883,,1.2096250138711184
heterogeneity_entropy,6001,10,iid,B0,2,1,2051,513,True,True,0.7738791423001949,0.5202515317639471,0.008308105132792076,0.07298907646474677,0.07298907646474677,0.18719898169808724,,1.1855829798150808
heterogeneity_entropy,6001,10,iid,B0,2,2,2051,513,True,True,0.783625730994152,0.5012568645826947,0.017338654190174763,0.014444444444444454,0.014444444444444454,0.1726640979771571,,1.2136250152252614
heterogeneity_entropy,6001,10,iid,B0,2,3,2051,513,True,True,0.7660818713450293,0.49140779907468607,0.020023536741545812,0.005396654074473831,0.008438818565400843,0.20476965144854797,,1.1881660029757768
heterogeneity_entropy,6001,10,iid,B0,2,4,2051,513,True,True,0.7524366471734892,0.48403012615923147,0.029239766081871343,0.07207207207207207,0.07207207207207207,0.19590643274853803,,1.1707090015988797
heterogeneity_entropy,6001,10,iid,B0,2,5,2051,513,True,True,0.7563352826510721,0.47989747998669835,0.00030961882482455,0.07339927121290994,0.07339927121290994,0.2221859089032613,,1.174291013740003
heterogeneity_entropy,6001,10,iid,B0,2,6,2051,513,True,True,0.7602339181286549,0.48821912030691117,0.019134420637458696,0.014220183486238533,0.014220183486238533,0.1742884553885513,,1.1773339938372374
heterogeneity_entropy,6001,10,iid,B0,2,7,2050,513,True,True,0.7816764132553606,0.5001391982182628,0.008514517682675108,0.0207070707070707,0.0207070707070707,0.14909866519884407,,1.226667023729533
