run_id,suite,comparison,metric,n,paired_t_p,paired_t_p_holm,wilcoxon_p,evidence_type,source_file
expanded-analysis-6df6bfb,adversarial,B6-B0,equal_opportunity_gap,5,0.0387152195419419,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,equalized_odds_gap,5,0.4180639518312193,1.0,0.4375,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,subgroup_accuracy_gap,5,0.6736430516421917,1.0,0.625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,accuracy,5,0.1210708781872969,1.0,0.0625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,macro_f1,5,0.8827475284178871,1.0,0.8125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,demographic_parity_gap,5,0.5126541882246632,1.0,0.4375,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,equal_opportunity_gap,5,0.1673130344859795,1.0,0.1875,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,equalized_odds_gap,5,0.0499721997160134,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,subgroup_accuracy_gap,5,0.0572279055514001,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,accuracy,5,0.7349064075648866,1.0,0.8125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,macro_f1,5,0.4424814736144897,1.0,0.4375,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,demographic_parity_gap,5,0.373370167108208,1.0,0.625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,equal_opportunity_gap,5,0.20027863775109,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,equalized_odds_gap,5,0.2294453904316708,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,adversarial,B6-B0,subgroup_accuracy_gap,5,0.6367537397972285,1.0,1.0,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
