run_id,suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high,evidence_type,source_file
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B3,macro_f1,,,,5,0.407931444218408,0.3114751021851938,0.5043877862516223,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B3,demographic_parity_gap,,,,5,0.0679023564270799,0.0430155164030737,0.092789196451086,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B3,equal_opportunity_gap,,,,5,0.0526423598992602,0.019933613267293,0.0881001410332498,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B3,equalized_odds_gap,,,,5,0.0693497973785688,0.0450028397583059,0.0918979429394383,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,,,,5,0.0878056983270009,0.0364652231773631,0.1385176155978317,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B3,runtime_ms,,,,5,111.00949180545284,108.4039920126088,113.61499159829692,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,accuracy,,,,5,0.4806241699867198,0.3627091633466136,0.6200531208499336,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,macro_f1,,,,5,0.4134495928070473,0.3538273443666003,0.4703300234292127,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,demographic_parity_gap,,,,5,0.0651640706567658,0.0046733453808096,0.1415137836113226,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,equal_opportunity_gap,,,,5,0.1159759426636148,0.0561579663793639,0.1757939189478656,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,equalized_odds_gap,,,,5,0.1205722703322665,0.0561579663793639,0.184986574285169,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,subgroup_accuracy_gap,,,,5,0.0781379706508904,0.0304957948605328,0.1365236940042638,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,mlp,joint_dirichlet_0.3,B5,runtime_ms,,,,5,151.5459166141227,147.05416683573276,155.8328497922048,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,accuracy,3.0,,,5,0.7706241699867198,0.7701859229747676,0.771062416998672,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,macro_f1,3.0,,,5,0.5058260518990048,0.5035790774370545,0.5080730263609547,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,demographic_parity_gap,3.0,,,5,0.0233254248241867,0.0224461899994766,0.0242046596488969,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equal_opportunity_gap,3.0,,,5,0.0291180823590766,0.0277544753351752,0.0307134888678554,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equalized_odds_gap,3.0,,,5,0.0291180823590766,0.0277544753351752,0.0307134888678554,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,subgroup_accuracy_gap,3.0,,,5,0.1805076047680212,0.1799372950579864,0.1810372061532034,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,runtime_ms,3.0,,,5,38.51570800179616,35.78713280148804,41.118333011399955,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
