run_id,scenario_id,seed,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms,evidence_type,source_file,client_count,policy_profile,attack_type,malicious_client
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,2,2051,513,True,True,0.7621832358674464,0.4763904691787698,0.0110944161017541,0.0004492362982928,0.0041152263374485,0.1703123908029911,,1.1720830225385723,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,3,2051,513,True,True,0.7660818713450293,0.5262574647540479,0.0180436847103513,0.0675675675675675,0.0675675675675675,0.1975308641975308,,1.1653330002445728,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,4,2051,513,True,True,0.7582846003898636,0.4744547257105089,0.0071982668250751,0.0059026069847515,0.0165574237674551,0.1670801593402753,,1.1849170259665698,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,5,2051,513,True,True,0.7719298245614035,0.5071884262642352,0.0289017341040462,0.0925925925925925,0.0925925925925925,0.1694645391298328,,1.194250013213605,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,6,2051,513,True,True,0.7602339181286549,0.542273291114448,0.048925270845592,0.0964487489911218,0.0964487489911218,0.1779273822297602,,1.18433398893103,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,7,2050,513,True,True,0.7875243664717348,0.5408849441265098,0.0315842303831643,0.0638179800221975,0.0638179800221975,0.1729777439340971,,1.1977499816566706,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,8,2050,513,True,True,0.7641325536062378,0.4773636218205087,0.0202312138728323,0.0566037735849056,0.0566037735849056,0.1721470354089509,,1.1755829909816384,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,9,2050,513,True,True,0.7660818713450293,0.5208592777085927,0.0134273772204806,0.007918025151374,0.007918025151374,0.1840125391849529,,1.1670000094454736,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,5,0,2051,513,True,True,0.783625730994152,0.5490342047533441,0.0386644125105663,0.082059123343527,0.082059123343527,0.1809636517328824,,1.2185829982627183,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,5,1,2051,513,True,True,0.7855750487329435,0.5218120805369127,0.0109376622477588,0.0294117647058823,0.0294117647058823,0.1758679173445018,,1.213000010466203,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_by_client.csv,,,,
