run_id,batch_size,operation,n,mean_gas,median_gas,min_gas,max_gas,evidence_type,source_file
gas-v2-30rep-4a08a15,5,publish_global_model,30,347492.8,347518.0,347434,347518,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,5,register_node,150,47894.24,47896.0,47872,47896,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,5,start_aggregation,30,30779.0,30779.0,30779,30779,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,5,submit_model,150,469953.28,466562.0,466454,483662,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,archive_round,30,30941.0,30941.0,30941,30941,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,close_submissions,30,30636.0,30636.0,30636,30636,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,create_round,30,47576.0,47576.0,47576,47576,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,publish_global_model,30,478761.8,478805.0,478661,478805,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,register_node,300,47894.56,47896.0,47872,47896,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,start_aggregation,30,30779.0,30779.0,30779,30779,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,10,submit_model,300,468327.32,466646.0,466538,483746,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,archive_round,30,30941.0,30941.0,30941,30941,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,close_submissions,30,30636.0,30636.0,30636,30636,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,create_round,30,47576.0,47576.0,47576,47576,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,publish_global_model,30,741218.8,741298.0,741034,741298,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,register_node,600,47894.2,47896.0,47872,47896,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,start_aggregation,30,30779.0,30779.0,30779,30779,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
gas-v2-30rep-4a08a15,20,submit_model,600,467514.4,466646.0,466538,483746,measured_hardhat,outputs/major_revision/gas-v2-30rep-4a08a15/blockchain/gas_summary.csv
