evidence_type,mode,concurrency,repetition,transaction_count,elapsed_ms,transactions_per_second,median_latency_ms,p95_latency_ms,failure_count,failure_rate,total_gas
measured_hardhat,sequential,1,1,1,1.6498749999999518,606.1065232214739,1.6431249999999409,1.6431249999999409,0,0,484469
measured_hardhat,sequential,1,2,1,1.2862079999999878,777.4792257550952,1.2837089999999307,1.2837089999999307,0,0,484469
measured_hardhat,sequential,1,3,1,1.2539170000000013,797.5009510198832,1.251875000000041,1.251875000000041,0,0,484469
measured_hardhat,sequential,1,4,1,1.1352500000000418,880.863245981029,1.1334170000000086,1.1334170000000086,0,0,484469
measured_hardhat,sequential,1,5,1,1.4627920000000358,683.6241926398118,1.460666999999944,1.460666999999944,0,0,484469
measured_hardhat,sequential,1,6,1,1.4454170000000204,691.8418698548487,1.4400829999999587,1.4400829999999587,0,0,484469
measured_hardhat,sequential,1,7,1,1.2746669999999085,784.5186232953954,1.2735000000000127,1.2735000000000127,0,0,484469
measured_hardhat,sequential,1,8,1,1.224917000000005,816.3818446474301,1.2243330000000014,1.2243330000000014,0,0,484469
measured_hardhat,sequential,1,9,1,1.1782079999999269,848.7465710639055,1.1769160000000056,1.1769160000000056,0,0,484469
measured_hardhat,sequential,1,10,1,2.563041999999996,390.16137854939626,2.562249999999949,2.562249999999949,0,0,484541
measured_hardhat,sequential,1,11,1,1.2395420000000286,806.749589767815,1.2384170000000267,1.2384170000000267,0,0,484553
measured_hardhat,sequential,1,12,1,1.07000000000005,934.5794392522927,1.069250000000011,1.069250000000011,0,0,484553
measured_hardhat,sequential,1,13,1,1.0422079999999596,959.5013663299828,1.0416250000000673,1.0416250000000673,0,0,484553
measured_hardhat,sequential,1,14,1,1.1172919999999067,895.0211762011036,1.116542000000095,1.116542000000095,0,0,484553
measured_hardhat,sequential,1,15,1,1.1427079999999705,875.1142024034361,1.1420829999999569,1.1420829999999569,0,0,484553
measured_hardhat,sequential,1,16,1,1.1278750000000173,886.6230743654968,1.1271250000000919,1.1271250000000919,0,0,484553
measured_hardhat,sequential,1,17,1,1.2577499999999873,795.0705625124311,1.2569579999999405,1.2569579999999405,0,0,484553
measured_hardhat,sequential,1,18,1,1.118832999999995,893.7884384890367,1.1182909999999993,1.1182909999999993,0,0,484553
measured_hardhat,sequential,1,19,1,1.0220840000000635,978.3931653366435,1.0215410000000702,1.0215410000000702,0,0,484553
measured_hardhat,sequential,1,20,1,1.1750000000000682,851.0638297871847,1.1744999999999663,1.1744999999999663,0,0,484541
measured_hardhat,sequential,1,21,1,1.1442080000000487,873.9669710401932,1.1435000000000173,1.1435000000000173,0,0,484553
measured_hardhat,sequential,1,22,1,1.1661660000000893,857.5108517997638,1.1654580000000578,1.1654580000000578,0,0,484529
measured_hardhat,sequential,1,23,1,1.1159589999999753,896.0902685493124,1.1154169999999795,1.1154169999999795,0,0,484553
measured_hardhat,sequential,1,24,1,1.1590419999999995,862.7815040352295,1.1584589999999935,1.1584589999999935,0,0,484553
measured_hardhat,sequential,1,25,1,1.0950419999999212,913.2069820153673,1.0944580000000315,1.0944580000000315,0,0,484553
measured_hardhat,sequential,1,26,1,1.3647909999999683,732.7129208794777,1.363958000000025,1.363958000000025,0,0,484553
measured_hardhat,sequential,1,27,1,1.2242090000000871,816.8539848995791,1.2236250000000837,1.2236250000000837,0,0,484553
measured_hardhat,sequential,1,28,1,1.3336250000000973,749.8359733807682,1.3330419999999776,1.3330419999999776,0,0,484553
measured_hardhat,sequential,1,29,1,1.1136249999999563,897.9683466158169,1.1129589999999325,1.1129589999999325,0,0,484529
measured_hardhat,sequential,1,30,1,1.1987500000000182,834.2022940562961,1.1981670000000122,1.1981670000000122,0,0,484553
measured_hardhat,sequential,5,1,5,5.1830830000000105,964.6768149381344,1.043957999999975,1.0650840000000699,0,0,2353933
measured_hardhat,sequential,5,2,5,6.452625000000012,774.8784409445753,1.2811250000000882,1.3789580000000115,0,0,2353921
measured_hardhat,sequential,5,3,5,5.498458000000028,909.3458566019735,1.1007080000000542,1.1375830000000633,0,0,2353909
measured_hardhat,sequential,5,4,5,7.359083000000055,679.4324782041407,1.220625000000041,2.6073750000000473,0,0,2353909
measured_hardhat,sequential,5,5,5,5.543459000000098,901.9639181961861,1.1244159999999965,1.169791000000032,0,0,2353933
measured_hardhat,sequential,5,6,5,5.531749999999988,903.8730962172931,1.0677499999999327,1.2620829999999614,0,0,2353933
measured_hardhat,sequential,5,7,5,5.791166999999973,863.383839561184,1.1633749999999736,1.183041000000003,0,0,2353933
measured_hardhat,sequential,5,8,5,5.945083999999952,841.0310098225763,1.1703339999999116,1.306165999999962,0,0,2353909
measured_hardhat,sequential,5,9,5,5.536417000000029,903.1111637725219,1.0834160000000566,1.1757499999999936,0,0,2353933
measured_hardhat,sequential,5,10,5,5.8608749999999645,853.1149359097457,1.1766670000000659,1.2061250000000427,0,0,2354353
measured_hardhat,sequential,5,11,5,6.428750000000036,777.7561734396223,1.2844169999999622,1.4629579999999578,0,0,2354329
measured_hardhat,sequential,5,12,5,6.106667000000016,818.7772478833358,1.2503749999999627,1.3225830000000087,0,0,2354341
measured_hardhat,sequential,5,13,5,7.73154199999999,646.7015247411197,1.2667079999999942,2.7678750000000036,0,0,2354353
measured_hardhat,sequential,5,14,5,5.8204580000000306,859.038927864435,1.1217089999998962,1.3015000000000327,0,0,2354353
measured_hardhat,sequential,5,15,5,5.783083000000033,864.5907381927548,1.1739169999999604,1.1897500000000036,0,0,2354317
measured_hardhat,sequential,5,16,5,5.718208000000004,874.3998119690638,1.1491249999999127,1.1836250000000064,0,0,2354353
measured_hardhat,sequential,5,17,5,10.313916999999947,484.78187288108154,1.604750000000081,3.5465000000000373,0,0,2354317
measured_hardhat,sequential,5,18,5,5.637416999999914,886.9310182305259,1.104959000000008,1.2086249999999836,0,0,2354341
measured_hardhat,sequential,5,19,5,5.552667000000042,900.4681894304056,1.0855830000000424,1.1804580000000442,0,0,2354353
measured_hardhat,sequential,5,20,5,6.023000000000025,830.1510874979211,1.189707999999996,1.2747920000000477,0,0,2354329
measured_hardhat,sequential,5,21,5,7.78287499999999,642.4361177585412,1.2943749999999454,2.6930830000000014,0,0,2354365
measured_hardhat,sequential,5,22,5,5.849249999999984,854.8104457836498,1.1730420000000095,1.27800000000002,0,0,2354353
measured_hardhat,sequential,5,23,5,5.599249999999984,892.9767379559788,1.1204580000000988,1.1458749999999327,0,0,2354365
measured_hardhat,sequential,5,24,5,5.834958000000029,856.9041970824769,1.1601670000000013,1.2220419999999876,0,0,2354353
measured_hardhat,sequential,5,25,5,5.713541999999961,875.1138960735799,1.1459159999999429,1.1932910000000447,0,0,2354353
measured_hardhat,sequential,5,26,5,5.20595800000001,960.4380212057014,1.0537499999999227,1.07162500000004,0,0,2354365
measured_hardhat,sequential,5,27,5,6.201290999999969,806.2837238246076,1.1569160000000238,1.39812500000005,0,0,2354341
measured_hardhat,sequential,5,28,5,5.286666999999966,945.7754763067227,1.048667000000023,1.0957499999999527,0,0,2354365
measured_hardhat,sequential,5,29,5,5.3412080000000515,936.1178220357552,1.0599170000000413,1.1364999999999554,0,0,2354353
measured_hardhat,sequential,5,30,5,8.790041000000087,568.8255606543759,1.1876670000000331,4.12337500000001,0,0,2354353
measured_hardhat,sequential,10,1,10,11.180042000000071,894.451022634793,1.0958329999999705,1.1813339999999926,0,0,4691582
measured_hardhat,sequential,10,2,10,12.042583000000036,830.3866371525088,1.2067500000000564,1.3027909999999565,0,0,4691606
measured_hardhat,sequential,10,3,10,12.220750000000066,818.2803837734955,1.1723749999999882,1.4223749999999882,0,0,4691606
measured_hardhat,sequential,10,4,10,12.076333999999974,828.0658683338852,1.2110000000000127,1.2695420000000013,0,0,4691546
measured_hardhat,sequential,10,5,10,11.34375,881.5426997245179,1.0912920000000668,1.249292000000196,0,0,4691606
measured_hardhat,sequential,10,6,10,10.448583000000099,957.0675755745929,1.0354999999999563,1.1366250000000946,0,0,4691570
measured_hardhat,sequential,10,7,10,12.226957999999968,817.8649178315674,1.1498329999999441,1.4417500000001837,0,0,4691630
measured_hardhat,sequential,10,8,10,11.226250000000164,890.7694020710259,1.1169169999998303,1.1846250000000964,0,0,4691618
measured_hardhat,sequential,10,9,10,13.669792000000143,731.5400263588426,1.0558340000000044,3.877749999999878,0,0,4691606
measured_hardhat,sequential,10,10,10,12.581124999999929,794.8414788025758,1.1480830000000424,1.6387079999999514,0,0,5137880
measured_hardhat,sequential,10,11,10,10.746707999999899,930.5175128979121,1.0679999999999836,1.1317919999999049,0,0,5137856
measured_hardhat,sequential,10,12,10,11.948249999999916,836.9426485050171,1.1604999999999563,1.5547080000001188,0,0,5137844
measured_hardhat,sequential,10,13,10,15.036292000000003,665.0575820155659,1.1693749999999454,4.139083000000028,0,0,5137880
measured_hardhat,sequential,10,14,10,10.670791000000008,937.1376498705665,1.0579580000000988,1.1117080000001351,0,0,5137856
measured_hardhat,sequential,10,15,10,11.156499999999824,896.338457401529,1.1021249999998872,1.3072090000000571,0,0,5137844
measured_hardhat,sequential,10,16,10,10.592292000000043,944.0827348792839,1.0530409999998938,1.1053749999998672,0,0,5137880
measured_hardhat,sequential,10,17,10,12.194500000000062,820.0418221329246,1.1620829999999387,1.6514170000000377,0,0,5137832
measured_hardhat,sequential,10,18,10,14.540875000000142,687.71652324911,1.1278749999999036,4.139958000000206,0,0,5137856
measured_hardhat,sequential,10,19,10,11.805000000000064,847.0986869970305,1.1684579999998732,1.3015419999999267,0,0,5137856
measured_hardhat,sequential,10,20,10,10.619417000000112,941.671280071203,1.0514590000000226,1.1077499999998963,0,0,5137856
measured_hardhat,sequential,10,21,10,12.241084,816.9211158096782,1.1788329999999405,1.499749999999949,0,0,5137832
measured_hardhat,sequential,10,22,10,14.185874999999896,704.9265554645077,1.1225000000001728,4.041458000000148,0,0,5137844
measured_hardhat,sequential,10,23,10,11.368832999999995,879.5977564275951,1.091374999999971,1.4268750000001091,0,0,5137856
measured_hardhat,sequential,10,24,10,10.746374999999944,930.5463470240013,1.0633749999999509,1.1401250000001255,0,0,5137832
measured_hardhat,sequential,10,25,10,11.09358300000008,901.4220202796453,1.0860000000000127,1.1868750000001,0,0,5137856
measured_hardhat,sequential,10,26,10,11.43704200000002,874.3519521918328,1.1210829999999987,1.2671660000000884,0,0,5137844
measured_hardhat,sequential,10,27,10,11.254834000000074,888.5071072571959,1.117040999999972,1.1729169999998703,0,0,5137880
measured_hardhat,sequential,10,28,10,11.579834000000119,863.5702377080619,1.1150829999999132,1.3392919999998867,0,0,5137844
measured_hardhat,sequential,10,29,10,10.979665999999952,910.7745171847708,1.0796660000000884,1.1741250000000036,0,0,5137832
measured_hardhat,sequential,10,30,10,11.811042000000043,846.6653492553802,1.067542000000003,1.6048749999999927,0,0,5137832
measured_hardhat,sequential,20,1,20,25.24700000000007,792.17332752406,1.084292000000005,1.301834000000099,0,0,9812398
measured_hardhat,sequential,20,2,20,22.90862500000003,873.0336281640638,1.096749999999929,1.3414589999999862,0,0,9812350
measured_hardhat,sequential,20,3,20,26.79300000000012,746.4636285596952,1.153332999999975,1.5977080000000115,0,0,9812314
measured_hardhat,sequential,20,4,20,22.911458999999923,872.9256395238762,1.1269159999999374,1.4246250000001055,0,0,9812338
measured_hardhat,sequential,20,5,20,26.3900000000001,757.8628268283412,1.1411249999998745,1.4294160000001739,0,0,9812386
measured_hardhat,sequential,20,6,20,22.44033300000001,891.2523713440434,1.0782500000000255,1.17904099999987,0,0,9811870
measured_hardhat,sequential,20,7,20,22.253333999999995,898.7417346092951,1.0973340000000462,1.2217089999999189,0,0,9812338
measured_hardhat,sequential,20,8,20,24.15825000000018,827.8745356141216,1.1560839999999644,1.4006670000001122,0,0,9812386
measured_hardhat,sequential,20,9,20,23.502583999999842,850.9702592702204,1.1598750000000564,1.2989580000000842,0,0,9812326
measured_hardhat,sequential,20,10,20,24.202041999999892,826.3765512017576,1.1232919999999922,1.43162499999994,0,0,10933696
measured_hardhat,sequential,20,11,20,23.059708,867.3136711011258,1.1134999999999309,1.2732500000001892,0,0,10933696
measured_hardhat,sequential,20,12,20,25.907249999999976,771.98467610418,1.1647079999997914,1.3722080000000005,0,0,10933732
measured_hardhat,sequential,20,13,20,22.50591700000018,888.6551923211945,1.1244580000000042,1.174291999999923,0,0,10933744
