scenario_id,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum
adult_core,iid,B0,accuracy,10,0.7748605577689243,0.00035441556266042787,0.7749003984063745,0.7746414342629483,0.7750664010624169,0.7743027888446216,0.7753652058432935
adult_core,iid,B0,macro_f1,10,0.5251355826358907,0.00139302213743495,0.5253372159185996,0.524311211131007,0.5259446676060041,0.5230542760921071,0.5269894593197174
adult_core,iid,B0,demographic_parity_gap,10,0.02838133698824305,0.00029712337805153343,0.02836291453552575,0.028208451978188054,0.028552950289406354,0.0279751483840907,0.0288427929505473
adult_core,iid,B0,equal_opportunity_gap,10,0.02560973032317687,0.001353632909424364,0.02552336245202495,0.02482796399739292,0.0264301108559044,0.0242052813496236,0.0277959456225141
adult_core,iid,B0,equalized_odds_gap,10,0.02560973032317687,0.001353632909424364,0.02552336245202495,0.02483024886170911,0.02640966132027452,0.0242052813496236,0.0277959456225141
adult_core,iid,B0,subgroup_accuracy_gap,10,0.17772430996089614,0.00025198405792952675,0.17775258754320838,0.17757904253233617,0.17787149300158417,0.1773026676790724,0.1781896293426182
adult_core,iid,B0,runtime_ms,10,76.3741918024607,1.095258594495606,76.26245850406121,75.78909864700108,77.06134777428815,75.18816701485775,78.74825000180863
adult_core,iid,B1,accuracy,10,0.7748605577689243,0.00035441556266042787,0.7749003984063745,0.7746480743691899,0.775066401062417,0.7743027888446216,0.7753652058432935
adult_core,iid,B1,macro_f1,10,0.5251355826358907,0.00139302213743495,0.5253372159185996,0.5243240677718033,0.5259238288998925,0.5230542760921071,0.5269894593197174
adult_core,iid,B1,demographic_parity_gap,10,0.02838133698824305,0.00029712337805153343,0.02836291453552575,0.028208451978188047,0.02855615370800698,0.0279751483840907,0.0288427929505473
adult_core,iid,B1,equal_opportunity_gap,10,0.02560973032317687,0.001353632909424364,0.02552336245202495,0.02484161606168215,0.02640966132027452,0.0242052813496236,0.0277959456225141
adult_core,iid,B1,equalized_odds_gap,10,0.02560973032317687,0.001353632909424364,0.02552336245202495,0.024830248861709113,0.026432395720220592,0.0242052813496236,0.0277959456225141
