concurrency,payload_bytes_each,n,elapsed_ms_mean,elapsed_ms_median,elapsed_ms_p95,throughput_mib_s_mean,throughput_mib_s_p95
1,1048576,30,49.34034037287347,46.76408300292678,58.79093940020538,20.551515199420525,22.61110533110103
5,1048576,30,134.78963473656526,130.7743545039557,163.94983387435786,37.60395464347017,44.963453983038484
10,1048576,30,230.51118883110271,228.1788330001291,264.1368578391848,43.706850680558084,48.362250862628315
20,1048576,30,427.2075625640961,418.50181252812035,485.4709729668684,47.02683181625516,50.93347807916568
