suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high
scaling,,B6,demographic_parity_gap,3.0,,,5,0.04011455379581856,0.01300250855473586,0.06722659903690127
scaling,,B6,equal_opportunity_gap,3.0,,,5,0.0479908331243634,0.01459102927996494,0.0825078213761623
scaling,,B6,equalized_odds_gap,3.0,,,5,0.0479908331243634,0.01459102927996494,0.0825078213761623
scaling,,B6,subgroup_accuracy_gap,3.0,,,5,0.1703747422556644,0.15110919754391633,0.18689995113757332
scaling,,B6,runtime_ms,3.0,,,5,38.81623318884522,35.67897479515523,41.95349158253521
scaling,,B0,accuracy,5.0,,,5,0.7707436918990703,0.7700796812749003,0.7714077025232404
scaling,,B0,macro_f1,5.0,,,5,0.5063454257773574,0.5032220809543998,0.5094687706003153
scaling,,B0,demographic_parity_gap,5.0,,,5,0.023581658193655604,0.02238834702837952,0.02475826307884313
scaling,,B0,equal_opportunity_gap,5.0,,,5,0.029818050542341063,0.02752267585029794,0.03215432430564396
scaling,,B0,equalized_odds_gap,5.0,,,5,0.029818050542341063,0.02752267585029794,0.03211342523438418
scaling,,B0,subgroup_accuracy_gap,5.0,,,5,0.18033021243531203,0.17952595522794362,0.1811344696426804
scaling,,B0,runtime_ms,5.0,,,5,45.5807916005142,41.96393339661881,49.23011660575867
scaling,,B5,accuracy,5.0,,,5,0.7820185922974767,0.7657503320053122,0.7995252324037184
scaling,,B5,macro_f1,5.0,,,5,0.5604155138571525,0.483672314583543,0.6444845708219112
scaling,,B5,demographic_parity_gap,5.0,,,5,0.056913632175712305,0.01668099334651372,0.10461427678704158
scaling,,B5,equal_opportunity_gap,5.0,,,5,0.07353093220750448,0.0181412514544589,0.14315223308357855
scaling,,B5,equalized_odds_gap,5.0,,,5,0.07353093220750448,0.0181412514544589,0.1416747255735152
scaling,,B5,subgroup_accuracy_gap,5.0,,,5,0.16528792273626539,0.14530658630165866,0.18504729509389262
scaling,,B5,runtime_ms,5.0,,,5,58.224725001491606,54.86862292164005,61.372925410978496
scaling,,B6,accuracy,5.0,,,5,0.7765338645418327,0.7650863213811421,0.7879814077025232
scaling,,B6,macro_f1,5.0,,,5,0.5388064696895636,0.47999708630706533,0.6021922981558079
scaling,,B6,demographic_parity_gap,5.0,,,5,0.04487782096565384,0.014762767492900161,0.08946954428962037
scaling,,B6,equal_opportunity_gap,5.0,,,5,0.05908853335130756,0.008689224751249641,0.13770408836484252
scaling,,B6,equalized_odds_gap,5.0,,,5,0.0602030312636197,0.010918220575873919,0.13879579653511748
scaling,,B6,subgroup_accuracy_gap,5.0,,,5,0.17258239960510474,0.15799602148037115,0.1852225049757572
scaling,,B6,runtime_ms,5.0,,,5,43.28470821492374,40.191449818667024,46.377966611180454
scaling,,B0,accuracy,10.0,,,5,0.7713147410358565,0.7704382470119521,0.7724435590969456
scaling,,B0,macro_f1,10.0,,,5,0.5091316867366303,0.5051000671605718,0.5144272858567878
scaling,,B0,demographic_parity_gap,10.0,,,5,0.02425348797468576,0.02319131642927528,0.025515730887041222
scaling,,B0,equal_opportunity_gap,10.0,,,5,0.028563660032753478,0.025268542959162022,0.03119982223755614
scaling,,B0,equalized_odds_gap,10.0,,,5,0.028563660032753478,0.025268542959162022,0.03119982223755614
scaling,,B0,subgroup_accuracy_gap,10.0,,,5,0.18008685713056932,0.1794505844485011,0.1807231298126376
scaling,,B0,runtime_ms,10.0,,,5,54.65780841186643,52.75013342034072,56.565483403392136
scaling,,B5,accuracy,10.0,,,5,0.7557901726427623,0.7543293492695884,0.7585126162018592
scaling,,B5,macro_f1,10.0,,,5,0.4369312523578972,0.43003458444172143,0.44944579704011306
scaling,,B5,demographic_parity_gap,10.0,,,5,0.002054123537268968,1.971025918990835e-05,0.005511932058539941
