suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,policy_profile,attack_type
mlp,iid,B0,accuracy,5,0.5513811420982736,0.11060094511237406,0.4904382470119522,0.4686852589641434,0.6379814077025233,0.4561752988047808,0.6968791500664011,,,
mlp,iid,B0,macro_f1,5,0.47167752177224626,0.08074257410452924,0.4385543441908486,0.4107410440634852,0.5374058452372621,0.3851522032555038,0.5761740823857159,,,
mlp,iid,B0,demographic_parity_gap,5,0.0959766257909804,0.056969188523592826,0.0913998578719005,0.05445116566645354,0.1422334427654572,0.0407806185366582,0.1817322806404714,,,
mlp,iid,B0,equal_opportunity_gap,5,0.08308703448031614,0.05510003918221004,0.0824567546586955,0.039908925308356664,0.12626514365227562,0.0273686759953868,0.1527757388537178,,,
mlp,iid,B0,equalized_odds_gap,5,0.09815894729548438,0.06787493893092407,0.0930658015700329,0.049013557781515345,0.15302292508497153,0.0273686759953868,0.2000691982909936,,,
mlp,iid,B0,subgroup_accuracy_gap,5,0.08333669694208742,0.053855155826234805,0.0811052292144073,0.04241866423938542,0.1245730344838667,0.0300512649278484,0.158669090925576,,,
mlp,iid,B0,runtime_ms,5,111.81859179632738,3.416730555103447,112.80912498477846,109.12547539919615,114.51170819345862,107.98579198308288,115.08491699350998,,,
mlp,iid,B3,accuracy,5,0.47021248339973437,0.15774652073751566,0.398140770252324,0.35349269588313414,0.600597609561753,0.3408366533864542,0.6969455511288181,,,
mlp,iid,B3,macro_f1,5,0.4236246520799455,0.11155009137414647,0.3726800730247869,0.3398332268518038,0.5151258974244362,0.3224315149321836,0.5763089073397123,,,
mlp,iid,B3,demographic_parity_gap,5,0.09019014623042493,0.040541097854658974,0.1123883552526887,0.05824792003708716,0.12067930146568621,0.0410309183678934,0.1293846124497869,,,
mlp,iid,B3,equal_opportunity_gap,5,0.08240465975228638,0.06605760508097971,0.0806614225222502,0.029892651362264606,0.13491666814230813,0.0091434557773079,0.1550514637126417,,,
mlp,iid,B3,equalized_odds_gap,5,0.09577692722407072,0.0539846223136611,0.0930658015700329,0.05415631049627674,0.13739754395186468,0.0252574613672285,0.1550514637126417,,,
mlp,iid,B3,subgroup_accuracy_gap,5,0.0530948286325756,0.06255952237657224,0.042030392593821,0.01366673987639184,0.10642128189660435,0.0040690472083575,0.1588726325498382,,,
mlp,iid,B3,runtime_ms,5,111.84090038295835,2.1533799778180063,110.998916963581,110.19146699691191,113.54195057647303,109.81499997433276,114.65958395274356,,,
mlp,iid,B5,accuracy,5,0.5518193891102257,0.11174571446834898,0.4903054448871182,0.4683665338645418,0.6425498007968129,0.4551128818061088,0.699535192563081,,,
mlp,iid,B5,macro_f1,5,0.471548345958008,0.08039770938553464,0.4377025140014314,0.4109819081949918,0.5355633301127698,0.3858544556795763,0.5759144077016306,,,
mlp,iid,B5,demographic_parity_gap,5,0.09488404837249843,0.057045143658472144,0.0896066174477196,0.053324712117582884,0.14113481947671286,0.0413184482429475,0.1810894606058696,,,
mlp,iid,B5,equal_opportunity_gap,5,0.08157799584268936,0.05619671177240218,0.0844337335082778,0.03776812168730372,0.12538786999807502,0.0232553490101682,0.1530939062097471,,,
mlp,iid,B5,equalized_odds_gap,5,0.09597060465426444,0.06873099656603879,0.0916914065634277,0.046532314778793576,0.15278830594407442,0.0232553490101682,0.1995176310113229,,,
mlp,iid,B5,subgroup_accuracy_gap,5,0.08341128139732856,0.05410499869379052,0.0808160143589218,0.04248423404931828,0.12520387109811432,0.0299462745995358,0.1598626187311932,,,
mlp,iid,B5,runtime_ms,5,155.00669181346893,4.158156621775378,155.39508301299065,151.533116819337,157.75126680964604,148.11629202449694,158.61712500918657,,,
mlp,joint_dirichlet_0.3,B0,accuracy,5,0.5513545816733068,0.1107225679923275,0.4915006640106241,0.4683930942895086,0.6406772908366534,0.4557768924302788,0.6969455511288181,,,
mlp,joint_dirichlet_0.3,B0,macro_f1,5,0.4714403389323648,0.08081789184180187,0.4380336669079313,0.41053816780260155,0.5373823171217716,0.3845382344268267,0.5761408961408961,,,
mlp,joint_dirichlet_0.3,B0,demographic_parity_gap,5,0.09583736617017846,0.057163675920986326,0.0921283511377258,0.05409806196960848,0.14198751184776942,0.0402170327009167,0.1815480561132986,,,
mlp,joint_dirichlet_0.3,B0,equal_opportunity_gap,5,0.08278703179560058,0.054368113636859804,0.0821385873026662,0.04005435692208208,0.1255197066691191,0.0275731713516857,0.150548567361513,,,
mlp,joint_dirichlet_0.3,B0,equalized_odds_gap,5,0.09854627138151603,0.06799643909721421,0.0931525944245948,0.049321017345895876,0.15466956249449654,0.0275731713516857,0.2006711106705915,,,
mlp,joint_dirichlet_0.3,B0,subgroup_accuracy_gap,5,0.08367821038067899,0.053926852426281154,0.0808031362941956,0.042602495604457724,0.12482798004686291,0.0311932804745611,0.1588726325498382,,,
mlp,joint_dirichlet_0.3,B0,runtime_ms,5,112.9834744031541,3.5365339402805156,113.13920799875632,110.0124410004355,115.56214099982753,107.53354098415002,116.78304098313674,,,
mlp,joint_dirichlet_0.3,B3,accuracy,5,0.48381142098273566,0.198331383574786,0.398140770252324,0.33136786188579015,0.6362549800796813,0.2855245683930943,0.7205179282868526,,,
mlp,joint_dirichlet_0.3,B3,macro_f1,5,0.40793144421840805,0.12368985958353654,0.3726800730247869,0.3114751021851938,0.5043877862516223,0.2699162040184074,0.544916048685606,,,
mlp,joint_dirichlet_0.3,B3,demographic_parity_gap,5,0.06790235642707994,0.03291746792226021,0.0710184148101274,0.04301551640307379,0.09278919645108608,0.0309986652347274,0.1123883552526887,,,
mlp,joint_dirichlet_0.3,B3,equal_opportunity_gap,5,0.052642359899260284,0.04357896852503002,0.0308662320473926,0.019933613267293083,0.08810014103324985,0.0091434557773079,0.1086492967473242,,,
mlp,joint_dirichlet_0.3,B3,equalized_odds_gap,5,0.0693497973785688,0.031653941688233767,0.0636004140884469,0.045002839758305976,0.09189794293943834,0.0252574613672285,0.1086492967473242,,,
mlp,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,5,0.08780569832700097,0.06360485525426944,0.0956976612331196,0.036465223177363185,0.1385176155978317,0.0090826061857116,0.1791699268864925,,,
mlp,joint_dirichlet_0.3,B3,runtime_ms,5,111.00949180545285,3.524755459502497,110.34729197854176,108.4039920126088,113.61499159829691,106.08958400553092,114.55662501975894,,,
mlp,joint_dirichlet_0.3,B5,accuracy,5,0.4806241699867198,0.17164672965134867,0.4130146082337317,0.3627091633466136,0.6200531208499336,0.3104249667994688,0.75,,,
mlp,joint_dirichlet_0.3,B5,macro_f1,5,0.4134495928070473,0.07685559616982912,0.4088503114909456,0.35382734436660035,0.47033002342921276,0.3104248178195411,0.5101105663503717,,,
mlp,joint_dirichlet_0.3,B5,demographic_parity_gap,5,0.0651640706567658,0.08751818226813618,0.0082285417591608,0.00467334538080964,0.14151378361132266,0.0014406783281889,0.1980527603880999,,,
mlp,joint_dirichlet_0.3,B5,equal_opportunity_gap,5,0.11597594266361481,0.07694029826213533,0.1361419266318644,0.056157966379363954,0.17579391894786567,0.0162253927253347,0.1881848523777726,,,
mlp,joint_dirichlet_0.3,B5,equalized_odds_gap,5,0.1205722703322665,0.08279601536885875,0.1361419266318644,0.056157966379363954,0.18498657428516901,0.0162253927253347,0.211166490721031,,,
mlp,joint_dirichlet_0.3,B5,subgroup_accuracy_gap,5,0.07813797065089043,0.07113857024927525,0.0775953547978042,0.030495794860532822,0.13652369400426384,0.0160976410855679,0.1928108063251196,,,
mlp,joint_dirichlet_0.3,B5,runtime_ms,5,151.5459166141227,5.683113036907846,151.91058302298188,147.05416683573276,155.8328497922048,143.83129205089062,158.21074997074902,,,
scaling,,B0,accuracy,5,0.7706241699867198,0.0005665532272962065,0.7705843293492696,0.7701859229747676,0.771062416998672,0.7700531208499336,0.7713811420982736,3.0,,
scaling,,B0,macro_f1,5,0.5058260518990048,0.0028648387911911345,0.505230644801839,0.5035790774370545,0.5080730263609547,0.5030421868774512,0.5094159697029833,3.0,,
scaling,,B0,demographic_parity_gap,5,0.02332542482418678,0.0011277241175884705,0.0229535055125238,0.0224461899994766,0.02420465964889696,0.02227008547324,0.0247145507748893,3.0,,
scaling,,B0,equal_opportunity_gap,5,0.02911808235907668,0.0018661092785257818,0.0282272137621947,0.027754475335175298,0.03071348886785542,0.0274772070504058,0.0318407266782471,3.0,,
scaling,,B0,equalized_odds_gap,5,0.02911808235907668,0.0018661092785257818,0.0282272137621947,0.027754475335175298,0.03071348886785542,0.0274772070504058,0.0318407266782471,3.0,,
scaling,,B0,subgroup_accuracy_gap,5,0.1805076047680212,0.0007023441764039745,0.1806875727136756,0.17993729505798645,0.18103720615320348,0.1795049571622811,0.1811738901610602,3.0,,
scaling,,B0,runtime_ms,5,38.515708001796156,3.4317559217700744,40.12591700302437,35.78713280148804,41.118333011399955,34.22679100185633,41.970541002228856,3.0,,
scaling,,B5,accuracy,5,0.7883798140770253,0.03011652376101723,0.8088977423638778,0.7657503320053122,0.8106241699867198,0.7543160690571049,0.8128818061088977,3.0,,
scaling,,B5,macro_f1,5,0.6181883322364611,0.16782831189854458,0.7217723907735627,0.4922001378276689,0.7441765266452531,0.4299772899318698,0.7501217374973354,3.0,,
scaling,,B5,demographic_parity_gap,5,0.12444324686020443,0.11826422843239791,0.1469737420472684,0.030372534530113397,0.21851395919029545,0.0,0.2365938794570214,3.0,,
scaling,,B5,equal_opportunity_gap,5,0.1165052314824599,0.11106912274950143,0.1305708562129173,0.02880048621912642,0.2051054150713077,0.0,0.2273182947372148,3.0,,
scaling,,B5,equalized_odds_gap,5,0.1165052314824599,0.11106912274950143,0.1305708562129173,0.0279050478936121,0.2051054150713077,0.0,0.2273182947372148,3.0,,
scaling,,B5,subgroup_accuracy_gap,5,0.14527345637688965,0.045552055806100035,0.1136810963108536,0.11168924884795976,0.1788597380364934,0.1111355723018985,0.1963740384553856,3.0,,
scaling,,B5,runtime_ms,5,51.33207499748096,4.345162069003431,54.469749971758574,47.946625004988164,54.496333200950176,46.02800001157448,54.513500013854355,3.0,,
scaling,,B6,accuracy,5,0.776148738379814,0.01649544595923186,0.7797476759628154,0.7627755644090305,0.7882735723771581,0.7553120849933599,0.797742363877822,3.0,,
scaling,,B6,macro_f1,5,0.5385676756216312,0.08525237651728929,0.5468134883688904,0.472590709380926,0.6029890554874842,0.4342592340096279,0.6515898108538913,3.0,,
scaling,,B6,demographic_parity_gap,5,0.04011455379581856,0.03483993241987175,0.0337336893643493,0.01300250855473586,0.06722659903690127,0.0014782694392431,0.0836564300026733,3.0,,
scaling,,B6,equal_opportunity_gap,5,0.0479908331243634,0.0438303153054874,0.0279101888383235,0.01459102927996494,0.0825078213761623,0.004772510340439,0.1026338202188785,3.0,,
scaling,,B6,equalized_odds_gap,5,0.0479908331243634,0.0438303153054874,0.0279101888383235,0.01459102927996494,0.0825078213761623,0.004772510340439,0.1026338202188785,3.0,,
scaling,,B6,subgroup_accuracy_gap,5,0.1703747422556644,0.02308333301304426,0.1719209805960261,0.15110919754391633,0.18689995113757332,0.135244513026714,0.1948957690161424,3.0,,
scaling,,B6,runtime_ms,5,38.81623318884522,4.021708411365052,37.35304204747081,35.67897479515523,41.95349158253521,34.85125000588596,43.395624961704016,3.0,,
scaling,,B0,accuracy,5,0.7707436918990703,0.0008433196344412739,0.7707171314741036,0.7700796812749003,0.7714077025232404,0.7697211155378486,0.7716467463479416,5.0,,
scaling,,B0,macro_f1,5,0.5063454257773574,0.003972569038431656,0.5059314950480023,0.5032220809543998,0.5094687706003153,0.5015904458504634,0.5105972421663307,5.0,,
scaling,,B0,demographic_parity_gap,5,0.023581658193655604,0.0015420828009380066,0.0230456177761102,0.02238834702837952,0.02475826307884313,0.021882319321805,0.0253058585505866,5.0,,
scaling,,B0,equal_opportunity_gap,5,0.029818050542341063,0.003039407316507074,0.0281135417624643,0.02752267585029794,0.03215432430564396,0.027068216337808,0.0334315634583934,5.0,,
scaling,,B0,equalized_odds_gap,5,0.029818050542341063,0.003039407316507074,0.0281135417624643,0.02752267585029794,0.03211342523438418,0.027068216337808,0.0334315634583934,5.0,,
scaling,,B0,subgroup_accuracy_gap,5,0.18033021243531203,0.0010453639060245814,0.1807925630419882,0.17952595522794362,0.1811344696426804,0.1791107519784829,0.1813645537205962,5.0,,
scaling,,B0,runtime_ms,5,45.5807916005142,4.998291795046447,46.89383303048089,41.96393339661881,49.23011660575867,39.54504197463393,52.34275001566857,5.0,,
scaling,,B5,accuracy,5,0.7820185922974767,0.021779720548019747,0.7791500664010624,0.7657503320053122,0.7995252324037184,0.7543160690571049,0.8108233731739708,5.0,,
scaling,,B5,macro_f1,5,0.5604155138571525,0.10329486310965601,0.5456728592359705,0.483672314583543,0.6444845708219112,0.4299772899318698,0.6979977169958171,5.0,,
scaling,,B5,demographic_parity_gap,5,0.056913632175712305,0.058358846552013975,0.0341343335805106,0.01668099334651372,0.10461427678704158,0.0,0.148636436606593,5.0,,
scaling,,B5,equal_opportunity_gap,5,0.07353093220750448,0.08112224426022199,0.0332042194589327,0.0181412514544589,0.14315223308357855,0.0,0.2013371025978336,5.0,,
scaling,,B5,equalized_odds_gap,5,0.07353093220750448,0.08112224426022199,0.0332042194589327,0.0181412514544589,0.1416747255735152,0.0,0.2013371025978336,5.0,,
scaling,,B5,subgroup_accuracy_gap,5,0.16528792273626539,0.02681354819746232,0.1725058493393603,0.14530658630165866,0.18504729509389262,0.1279136245331225,0.1963740384553856,5.0,,
scaling,,B5,runtime_ms,5,58.224725001491606,4.180130065833573,59.645375004038215,54.86862292164005,61.372925410978496,52.37329099327326,62.33054201584309,5.0,,
scaling,,B6,accuracy,5,0.7765338645418327,0.014792511489962077,0.7760292164674635,0.7650863213811421,0.7879814077025232,0.7592961487383798,0.7952855245683931,5.0,,
scaling,,B6,macro_f1,5,0.5388064696895636,0.07880902815330745,0.5297209428444549,0.47999708630706533,0.6021922981558079,0.4510689161520778,0.6505065350300432,5.0,,
scaling,,B6,demographic_parity_gap,5,0.04487782096565384,0.050486499926238076,0.0333484306242706,0.014762767492900161,0.08946954428962037,0.004974603834522,0.1322631608054455,5.0,,
scaling,,B6,equal_opportunity_gap,5,0.05908853335130756,0.08805387164103395,0.0265449824094008,0.008689224751249641,0.13770408836484252,0.0014960149110245,0.2132886566197374,5.0,,
scaling,,B6,equalized_odds_gap,5,0.0602030312636197,0.0871735509489099,0.0265449824094008,0.010918220575873919,0.13879579653511748,0.0069545557623992,0.2132886566197374,5.0,,
scaling,,B6,subgroup_accuracy_gap,5,0.17258239960510474,0.017479868888462296,0.1744189239670833,0.15799602148037115,0.1852225049757572,0.1464432339821396,0.1913994346208637,5.0,,
scaling,,B6,runtime_ms,5,43.28470821492374,4.02580606290133,43.28183300094679,40.191449818667024,46.377966611180454,37.848291045520455,47.368291998282075,5.0,,
scaling,,B0,accuracy,5,0.7713147410358565,0.0013338186870253009,0.7707835325365205,0.7704382470119521,0.7724435590969456,0.7701195219123506,0.7735059760956176,10.0,,
scaling,,B0,macro_f1,5,0.5091316867366303,0.006273436181883803,0.5067976142368009,0.5051000671605718,0.5144272858567878,0.5034990090115348,0.5195639808045415,10.0,,
