scenario_id,seed,client_count,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
client_scaling,5001,3,joint_dirichlet_0.3,B0,1,0,5464,1366,True,True,0.9941434846266471,0.4985315712187959,0.0,,,0.02547770700636942,"equal_opportunity_gap,equalized_odds_gap",3.276041999924928
client_scaling,5001,3,joint_dirichlet_0.3,B0,1,1,9184,2297,True,True,0.7409664780148019,0.5926592439883847,0.13959519001285112,0.149568510038746,0.149568510038746,0.28922495563307016,,4.292666999390349
client_scaling,5001,3,joint_dirichlet_0.3,B0,1,2,5860,1466,True,True,0.7510231923601637,0.7079501164455375,0.1583127650148725,0.05488445378151263,0.06351560086499847,0.1496740712613125,,2.3952919873408973
client_scaling,5001,3,joint_dirichlet_0.3,B0,2,0,5464,1366,True,True,0.9941434846266471,0.4985315712187959,0.0,,,0.02547770700636942,"equal_opportunity_gap,equalized_odds_gap",2.7731670124921948
client_scaling,5001,3,joint_dirichlet_0.3,B0,2,1,9184,2297,True,True,0.7213757074444929,0.5312005714577275,0.08664172939232605,0.1000462310672772,0.1000462310672772,0.3254658527629889,,3.3364160044584423
client_scaling,5001,3,joint_dirichlet_0.3,B0,2,2,5860,1466,True,True,0.689631650750341,0.5767863476274135,0.051911271438516544,0.05961134453781511,0.05961134453781511,0.2035788874121891,,2.2649579914286733
client_scaling,5001,3,joint_dirichlet_0.3,B0,3,0,5464,1366,True,True,0.9919472913616398,0.49797868430723996,0.0012835726913855321,,,0.02676127969775499,"equal_opportunity_gap,equalized_odds_gap",2.391957998042926
client_scaling,5001,3,joint_dirichlet_0.3,B0,3,1,9184,2297,True,True,0.717022202873313,0.5175430092933679,0.07318019093078758,0.07798740753786546,0.07798740753786546,0.3350812373783735,,3.0745830154046416
client_scaling,5001,3,joint_dirichlet_0.3,B0,3,2,5860,1466,True,True,0.6787175989085948,0.5523054628918217,0.04749699386114803,0.09453781512605042,0.09453781512605042,0.22682108727295736,,2.3830000136513263
client_scaling,5001,5,joint_dirichlet_0.3,B0,1,0,2710,678,True,False,0.8672566371681416,0.8660631974503279,0.728975078975079,0.035608308605341255,0.35001480604086466,0.11372411372411373,,1.7816670006141067
