policy_profile,mean,ci95_low,ci95_high,error,series,count,approval_mean,approval_std,min,max
lenient,0.7651859229747675,0.7612673318672635,0.7691045140822715,0.0039185911075040325,Test accuracy,10,0.55,0.135400640077266,0.3,0.7
moderate,0.7465537848605578,0.7089531624049307,0.7841544073161849,0.03760062245562712,Test accuracy,10,0.27,0.105934990547138,0.1,0.4
strict,0.5006772908366534,0.3083980450794308,0.6929565365938759,0.19227924575722255,Test accuracy,10,0.07,0.0823272602348564,0.0,0.2
submitted,0.7599933598937583,0.7585885004274462,0.7613982193600703,0.0014048594663120806,Test accuracy,10,0.42,0.1398411797560202,0.2,0.6
