dataset,method,mean,error,ci95_low,ci95_high
adult,B0,0.7748605577689243,0.00020584329349260244,0.7746414342629483,0.7750664010624169
adult,B3,0.7748605577689243,0.00019920318725108466,0.7746480743691898,0.7750597609561753
adult,B0,0.7739907038512616,0.001042496679946936,0.7732470119521911,0.7750332005312085
adult,B3,0.7629349269588314,0.006208499335989326,0.7583798140770253,0.7691434262948207
compas,B0,0.6613636363636364,0.0021464646464646187,0.6590909090909092,0.663510101010101
compas,B3,0.6593434343434343,0.002525252525252597,0.6565656565656566,0.6618686868686869
compas,B0,0.6494949494949495,0.011237373737373657,0.6323232323232323,0.6607323232323231
compas,B3,0.5809343434343435,0.03042929292929286,0.5539141414141414,0.6113636363636363
