scenario_id,seed,partition,method,round,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
adult_core,2001,iid,B0,1,10,0,1.0,0.7650828729281768,0.4933045079710596,0.019738501620883503,0.05607138174120997,0.05607138174120997,0.1773209563257241
adult_core,2001,iid,B0,2,10,0,1.0,0.7657458563535912,0.4978853924585977,0.02167424742784461,0.05529712212696609,0.05529712212696609,0.177347919056545
adult_core,2001,iid,B0,3,10,0,1.0,0.7670718232044199,0.5027899682075815,0.023636955965626753,0.06155363933238841,0.06155363933238841,0.17538521051876288
adult_core,2001,iid,B0,4,10,0,1.0,0.769281767955801,0.5121948701003676,0.028216609220451744,0.07406667374323303,0.07406667374323303,0.17211402962245936
adult_core,2001,iid,B0,5,10,0,1.0,0.7701657458563536,0.5186260815058309,0.03178794547556464,0.0764206727317003,0.0764206727317003,0.17181387426365002
adult_core,2001,iid,B1,1,10,0,1.0,0.7650828729281768,0.4933045079710596,0.019738501620883503,0.05607138174120997,0.05607138174120997,0.1773209563257241
adult_core,2001,iid,B1,2,10,0,1.0,0.7657458563535912,0.4978853924585977,0.02167424742784461,0.05529712212696609,0.05529712212696609,0.177347919056545
adult_core,2001,iid,B1,3,10,0,1.0,0.7670718232044199,0.5027899682075815,0.023636955965626753,0.06155363933238841,0.06155363933238841,0.17538521051876288
adult_core,2001,iid,B1,4,10,0,1.0,0.769281767955801,0.5121948701003676,0.028216609220451744,0.07406667374323303,0.07406667374323303,0.17211402962245936
adult_core,2001,iid,B1,5,10,0,1.0,0.7701657458563536,0.5186260815058309,0.03178794547556464,0.0764206727317003,0.0764206727317003,0.17181387426365002
adult_core,2001,iid,B3,1,10,0,1.0,0.7650828729281768,0.4933045079710596,0.019738501620883503,0.05607138174120997,0.05607138174120997,0.1773209563257241
adult_core,2001,iid,B3,2,10,0,1.0,0.7657458563535912,0.4978853924585977,0.02167424742784461,0.05529712212696609,0.05529712212696609,0.177347919056545
adult_core,2001,iid,B3,3,10,0,1.0,0.7670718232044199,0.5027899682075815,0.023636955965626753,0.06155363933238841,0.06155363933238841,0.17538521051876288
adult_core,2001,iid,B3,4,10,0,1.0,0.769281767955801,0.5121948701003676,0.028216609220451744,0.07406667374323303,0.07406667374323303,0.17211402962245936
adult_core,2001,iid,B3,5,10,0,1.0,0.7701657458563536,0.5186260815058309,0.03178794547556464,0.0764206727317003,0.0764206727317003,0.17181387426365002
adult_core,2001,joint_dirichlet_0.3,B0,1,10,0,1.0,0.7644198895027624,0.49080747917057244,0.018757147351992434,0.052943123138498804,0.052943123138498804,0.1783023105946152
adult_core,2001,joint_dirichlet_0.3,B0,2,10,0,1.0,0.7653038674033149,0.49413431391620916,0.01905730271080176,0.050083357789114165,0.050083357789114165,0.17800215523580576
adult_core,2001,joint_dirichlet_0.3,B0,3,10,0,1.0,0.7661878453038674,0.49883277851056257,0.02167424742784461,0.05633987499453647,0.05633987499453647,0.17669368287728437
adult_core,2001,joint_dirichlet_0.3,B0,4,10,0,1.0,0.7675138121546962,0.5050942964672613,0.02494542832414818,0.06468189793509957,0.06468189793509957,0.17473097433950224
adult_core,2001,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7701657458563536,0.5153781450990375,0.02952508157897317,0.07823768521351457,0.07823768521351457,0.17080555726393798
adult_core,2001,joint_dirichlet_0.3,B1,1,10,0,1.0,0.7644198895027624,0.49080747917057244,0.018757147351992434,0.052943123138498804,0.052943123138498804,0.1783023105946152
