scenario_id,seed,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adult_core,2001,iid,B0,1,0,2051,513,True,True,0.7680311890838206,0.4924803591470258,0.014995773457311921,0.008664627930682983,0.008664627930682983,0.20463229078613687,,1.7864590045064688
adult_core,2001,iid,B0,1,1,2051,513,True,True,0.7758284600389863,0.4761820199778024,0.008462843099927312,0.0196078431372549,0.0196078431372549,0.19031878439652494,,1.29720798577182
adult_core,2001,iid,B0,1,2,2051,513,True,True,0.7582846003898636,0.4609517998779744,0.005363757075966175,0.019317160826594786,0.019317160826594786,0.17604304982877905,,1.3382920005824417
adult_core,2001,iid,B0,1,3,2051,513,True,True,0.7621832358674464,0.5072278911564626,0.006647673314339984,0.09459459459459459,0.09459459459459459,0.20322886989553657,,1.252291986020282
adult_core,2001,iid,B0,1,4,2051,513,True,True,0.7582846003898636,0.4609517998779744,0.009696694388147319,0.024594195769798325,0.024594195769798325,0.17604304982877905,,1.2569589889608324
adult_core,2001,iid,B0,1,5,2051,513,True,True,0.7641325536062378,0.47736362182050873,0.017341040462427744,0.05555555555555555,0.05555555555555555,0.18102523277145133,,1.224084000568837
adult_core,2001,iid,B0,1,6,2051,513,True,True,0.7602339181286549,0.542273291114448,0.048925270845592055,0.09644874899112188,0.09644874899112188,0.17792738222976023,,1.2223750236444175
adult_core,2001,iid,B0,1,7,2050,513,True,True,0.7777777777777778,0.5044234289200732,0.017133363331141183,0.01664816870144284,0.01664816870144284,0.1874286109861203,,1.2048339995089918
adult_core,2001,iid,B0,1,8,2050,513,True,True,0.7582846003898636,0.4465826837416481,0.005780346820809248,0.018867924528301886,0.018867924528301886,0.18081755564016477,,1.2006660108454525
adult_core,2001,iid,B0,1,9,2050,513,True,True,0.7641325536062378,0.5140866570120162,0.010553814002089865,0.0167675826734979,0.0167675826734979,0.1868861024033438,,1.2617090251296759
adult_core,2001,iid,B0,2,0,2051,513,True,True,0.7680311890838206,0.4924803591470258,0.014995773457311921,0.008664627930682983,0.008664627930682983,0.20463229078613687,,1.234333001775667
adult_core,2001,iid,B0,2,1,2051,513,True,True,0.7777777777777778,0.48428571428571426,0.0024748191478315036,0.0784313725490196,0.0784313725490196,0.1963068083486207,,1.344666990917176
adult_core,2001,iid,B0,2,2,2051,513,True,True,0.7582846003898636,0.4609517998779744,0.005363757075966175,0.019317160826594786,0.019317160826594786,0.17604304982877905,,1.2410829949658364
adult_core,2001,iid,B0,2,3,2051,513,True,True,0.7621832358674464,0.5072278911564626,0.006647673314339984,0.09459459459459459,0.09459459459459459,0.20322886989553657,,1.216541015310213
adult_core,2001,iid,B0,2,4,2051,513,True,True,0.7582846003898636,0.4609517998779744,0.009696694388147319,0.024594195769798325,0.024594195769798325,0.17604304982877905,,1.1749999830499291
adult_core,2001,iid,B0,2,5,2051,513,True,True,0.7641325536062378,0.47736362182050873,0.017341040462427744,0.05555555555555555,0.05555555555555555,0.18102523277145133,,1.170584000647068
adult_core,2001,iid,B0,2,6,2051,513,True,True,0.7602339181286549,0.542273291114448,0.048925270845592055,0.09644874899112188,0.09644874899112188,0.17792738222976023,,1.2069999938830733
adult_core,2001,iid,B0,2,7,2050,513,True,True,0.7777777777777778,0.5044234289200732,0.017133363331141183,0.01664816870144284,0.01664816870144284,0.1874286109861203,,1.1679169838316739
adult_core,2001,iid,B0,2,8,2050,513,True,True,0.7621832358674464,0.4626888736263736,0.011560693641618497,0.03773584905660377,0.03773584905660377,0.17503720881935558,,1.185708009870723
adult_core,2001,iid,B0,2,9,2050,513,True,True,0.7660818713450293,0.5208592777085927,0.013427377220480673,0.007918025151374006,0.007918025151374006,0.18401253918495297,,1.1844999971799552
adult_core,2001,iid,B0,3,0,2051,513,True,True,0.7699805068226121,0.4998843357567746,0.017954353338968724,0.01783893985728849,0.01783893985728849,0.20167371090448005,,1.1841670202556998
adult_core,2001,iid,B0,3,1,2051,513,True,True,0.7777777777777778,0.48428571428571426,0.0024748191478315036,0.0784313725490196,0.0784313725490196,0.1963068083486207,,1.179290993604809
adult_core,2001,iid,B0,3,2,2051,513,True,True,0.7602339181286549,0.4687250039993601,0.008229086588860159,0.009883198562443844,0.009883198562443844,0.17317772031588508,,1.1682499898597598
adult_core,2001,iid,B0,3,3,2051,513,True,True,0.7660818713450293,0.5208592777085927,0.012345679012345678,0.07657657657657657,0.07657657657657657,0.19753086419753085,,1.1681669857352972
adult_core,2001,iid,B0,3,4,2051,513,True,True,0.7563352826510721,0.46008638617821146,0.006831364875253336,0.024594195769798325,0.024594195769798325,0.17890837934167303,,1.1632080131676048
adult_core,2001,iid,B0,3,5,2051,513,True,True,0.7680311890838206,0.4924803591470258,0.023121387283236993,0.07407407407407407,0.07407407407407407,0.17524488595064203,,1.1605409963522106
