suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count
adult,iid,B0,accuracy,10,0.7746347941567064,0.00030348183268709395,0.7745683930942895,0.7744621513944223,0.7748140770252323,0.7741035856573705,0.7751660026560425,
adult,iid,B0,macro_f1,10,0.5245436444435546,0.0012836663067266523,0.5243256176622837,0.5238172645721609,0.5253166259776325,0.522492833215229,0.52685758822738,
adult,iid,B0,demographic_parity_gap,10,0.028323494017145963,0.00030609265183733573,0.0282675827557578,0.028154025104322807,0.02851009757621379,0.0279622703193645,0.0289413442464969,
adult,iid,B0,equal_opportunity_gap,10,0.026146045099794263,0.001658643311110585,0.02647786452011275,0.025134764153449153,0.02711419923217132,0.0230462839252369,0.0283186083348423,
adult,iid,B0,equalized_odds_gap,10,0.026146045099794263,0.001658643311110585,0.02647786452011275,0.025123396953476103,0.027107344639222746,0.0230462839252369,0.0283186083348423,
adult,iid,B0,subgroup_accuracy_gap,10,0.1777572914469129,0.00026368876695973974,0.1777954241588201,0.17759960937339364,0.1779064061973098,0.177210555415486,0.1781831903102552,
adult,iid,B0,runtime_ms,10,90.1146627147682,7.595628810456187,87.02306251507252,86.07520518067759,94.81122570490697,83.14458403037861,106.54262499883772,
adult,iid,B1,accuracy,10,0.7746347941567064,0.00030348183268709395,0.7745683930942895,0.7744555112881806,0.7748140770252324,0.7741035856573705,0.7751660026560425,
adult,iid,B1,macro_f1,10,0.5245436444435546,0.0012836663067266523,0.5243256176622837,0.5238119725253768,0.5252786298902212,0.522492833215229,0.52685758822738,
adult,iid,B1,demographic_parity_gap,10,0.028323494017145963,0.00030609265183733573,0.0282675827557578,0.028155312910795434,0.028508809769741173,0.0279622703193645,0.0289413442464969,
adult,iid,B1,equal_opportunity_gap,10,0.026146045099794263,0.001658643311110585,0.02647786452011275,0.025102947417846216,0.027095977439249706,0.0230462839252369,0.0283186083348423,
adult,iid,B1,equalized_odds_gap,10,0.026146045099794263,0.001658643311110585,0.02647786452011275,0.025157441431787303,0.027102774910590384,0.0230462839252369,0.0283186083348423,
adult,iid,B1,subgroup_accuracy_gap,10,0.1777572914469129,0.00026368876695973974,0.1777954241588201,0.17759297375998023,0.17790769400378242,0.177210555415486,0.1781831903102552,
adult,iid,B1,runtime_ms,10,90.92321670032106,11.153174914140726,89.2276875092648,85.45781038541463,98.14816042926395,79.98241699533537,119.38641604501754,
adult,iid,B3,accuracy,10,0.7746347941567064,0.00030348183268709395,0.7745683930942895,0.7744621513944223,0.7748140770252324,0.7741035856573705,0.7751660026560425,
adult,iid,B3,macro_f1,10,0.5245436444435546,0.0012836663067266523,0.5243256176622837,0.5238172379687812,0.5253026078467952,0.522492833215229,0.52685758822738,
adult,iid,B3,demographic_parity_gap,10,0.028323494017145963,0.00030609265183733573,0.0282675827557578,0.028152093394613886,0.028506878060032242,0.0279622703193645,0.0289413442464969,
adult,iid,B3,equal_opportunity_gap,10,0.026146045099794263,0.001658643311110585,0.02647786452011275,0.025182347880873958,0.02707324303930364,0.0230462839252369,0.0283186083348423,
adult,iid,B3,equalized_odds_gap,10,0.026146045099794263,0.001658643311110585,0.02647786452011275,0.025143846489105993,0.027118711839195793,0.0230462839252369,0.0283186083348423,
adult,iid,B3,subgroup_accuracy_gap,10,0.1777572914469129,0.00026368876695973974,0.1777954241588201,0.177592313759163,0.1779038305843646,0.177210555415486,0.1781831903102552,
adult,iid,B3,runtime_ms,10,90.12392069562338,5.279391798364655,90.3337080089841,87.06392281586886,93.24127152198344,82.75704097468406,98.4379579895176,
adult,iid,B5,accuracy,10,0.7748539176626826,0.0004889992322285261,0.774867197875166,0.774574867197875,0.7751460823373174,0.7742363877822045,0.7756308100929615,
adult,iid,B5,macro_f1,10,0.5254167058468324,0.002206453869325855,0.5253152846978107,0.5241212713052822,0.5267179059157824,0.522773554653668,0.5288843954555036,
adult,iid,B5,demographic_parity_gap,10,0.02856600883760197,0.0007084844945652647,0.0282675827557578,0.02821102759113329,0.029017413089260913,0.0279815874164538,0.0303275014221535,
adult,iid,B5,equal_opportunity_gap,10,0.02608698135722079,0.001732390518245035,0.026318780842098148,0.02509614994650558,0.02713247671866063,0.0233644512812662,0.029295959046092,
adult,iid,B5,equalized_odds_gap,10,0.02608698135722079,0.001732390518245035,0.026318780842098148,0.02507570041087568,0.027123394383003777,0.0233644512812662,0.029295959046092,
adult,iid,B5,subgroup_accuracy_gap,10,0.17761332792240647,0.00046579948245395144,0.1776047605992841,0.1773485272298153,0.17789848277742384,0.1768227892640509,0.17849172226283,
adult,iid,B5,runtime_ms,10,133.97708329139277,10.49325233993132,132.89791697752662,128.43509513302706,140.50733257754473,123.2448749942705,157.29758300585672,
adult,joint_dirichlet_0.3,B0,accuracy,10,0.7752058432934926,0.003876391682367811,0.7736387782204515,0.7732934926958832,0.7777091633466136,0.7725099601593626,0.7835989375830014,
adult,joint_dirichlet_0.3,B0,macro_f1,10,0.5272404660049566,0.017454091900315393,0.5202385772742579,0.5186091742243994,0.5385906216149329,0.5147647595305769,0.5660584369446567,
adult,joint_dirichlet_0.3,B0,demographic_parity_gap,10,0.02993329623835536,0.006746879719983102,0.0271996160812205,0.026797934799722267,0.03446829414446626,0.0260620737563675,0.0466374701013762,
adult,joint_dirichlet_0.3,B0,equal_opportunity_gap,10,0.030600388084204056,0.009465179998029184,0.026704922911534,0.02660724496201693,0.03668235273621068,0.025977764842907,0.0563407555246591,
adult,joint_dirichlet_0.3,B0,equalized_odds_gap,10,0.030600388084204056,0.009465179998029184,0.026704922911534,0.026604960097700765,0.03682000867106002,0.025977764842907,0.0563407555246591,
adult,joint_dirichlet_0.3,B0,subgroup_accuracy_gap,10,0.1766076573815352,0.004435562423847046,0.17856773694550876,0.1737111439249906,0.17873142682678608,0.1665070983511644,0.1793400497321975,
adult,joint_dirichlet_0.3,B0,runtime_ms,10,87.75807470083237,4.6587416768948575,87.391145498259,85.0733770323859,90.57142493547872,80.90995799284428,94.55595799954608,
adult,joint_dirichlet_0.3,B1,accuracy,10,0.7752058432934926,0.003876391682367811,0.7736387782204515,0.7732934926958831,0.7777689243027888,0.7725099601593626,0.7835989375830014,
adult,joint_dirichlet_0.3,B1,macro_f1,10,0.5272404660049566,0.017454091900315393,0.5202385772742579,0.5186277108330855,0.5385126812506148,0.5147647595305769,0.5660584369446567,
