scenario_id,seed,client_count,partition,policy_profile,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,1,updated,7,3,0.7,0.7641988950276243,0.48636660201801246,0.016167165365770612,0.018563498654411724,0.018563498654411724,0.18770428168165432
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,2,updated,6,4,0.6,0.7622099447513813,0.47646101452304823,0.013277028020739464,0.02011201788289948,0.02011201788289948,0.18863171048890337
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,3,updated,6,4,0.6,0.7624309392265194,0.47732328490314624,0.01360414611036982,0.021154770750469863,0.021154770750469863,0.188304592399273
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,4,updated,6,4,0.6,0.7630939226519337,0.4799020103993865,0.014585500379260893,0.024283029353181024,0.024283029353181024,0.18732323813038199
threshold_sensitivity,7001,10,joint_dirichlet_0.3,lenient,B3,5,updated,5,5,0.5,0.7633149171270718,0.4822393937480589,0.015212773827700575,0.020380511136225986,0.020380511136225986,0.18800443704046377
threshold_sensitivity,7001,10,joint_dirichlet_0.3,submitted,B3,1,updated,5,5,0.5,0.7575690607734806,0.4564371721559786,0.007115709779404753,0.010190255568112993,0.010190255568112993,0.1934845563717167
threshold_sensitivity,7001,10,joint_dirichlet_0.3,submitted,B3,2,updated,6,4,0.6,0.7591160220994475,0.46267712671897565,0.007388902407393047,0.003427972001773305,0.003427972001773305,0.19321136374372838
threshold_sensitivity,7001,10,joint_dirichlet_0.3,submitted,B3,3,updated,5,5,0.5,0.7591160220994475,0.46267712671897565,0.007388902407393047,0.003427972001773305,0.003427972001773305,0.19321136374372838
threshold_sensitivity,7001,10,joint_dirichlet_0.3,submitted,B3,4,updated,3,7,0.3,0.758232044198895,0.4591200122372274,0.0070887470485837215,0.006287737351157955,0.006287737351157955,0.19351151910253772
threshold_sensitivity,7001,10,joint_dirichlet_0.3,submitted,B3,5,updated,2,8,0.2,0.7569060773480663,0.4537413586327632,0.006134355510513682,0.007061996965401836,0.007061996965401836,0.1944659106406078
threshold_sensitivity,7001,10,joint_dirichlet_0.3,moderate,B3,1,updated,3,7,0.3,0.776353591160221,0.5545590939475366,0.03512018247306624,0.01919414559827165,0.01919414559827165,0.172737737751121
threshold_sensitivity,7001,10,joint_dirichlet_0.3,moderate,B3,2,updated,4,6,0.4,0.7931491712707183,0.627206972745286,0.06380585407680947,0.058138155388909374,0.058138155388909374,0.14586012893978972
threshold_sensitivity,7001,10,joint_dirichlet_0.3,moderate,B3,3,updated,4,6,0.4,0.8026519337016574,0.6601700064546107,0.08283619405679019,0.08477518373055765,0.08477518373055765,0.13381068508510863
threshold_sensitivity,7001,10,joint_dirichlet_0.3,moderate,B3,4,updated,3,7,0.3,0.8057458563535912,0.7565576676737582,0.218636550410502,0.22878122795077205,0.22878122795077205,0.06671537784813342
