partition,minority_heavy,seeds,mean_clients,approval_rate,rejection_rate,mean_minority_fraction,mean_excluded_sample_fraction
iid,False,10,5.0,1.0,0.0,0.3174943376978153,0.0
iid,True,10,5.0,1.0,0.0,0.33109926878542173,0.0
joint_dirichlet_0.3,False,10,5.0,0.44000000000000006,0.5599999999999999,0.07730315310950955,0.18623473885400008
joint_dirichlet_0.3,True,10,5.0,0.62,0.38,0.33124648186779926,0.0965713617037875
joint_dirichlet_1.0,False,10,5.0,0.78,0.22000000000000003,0.1449367240415969,0.10679486679408667
joint_dirichlet_1.0,True,10,5.0,0.8800000000000001,0.12000000000000002,0.3607122786655083,0.04982252213597534
