tx_hash,event_type,node_id,block_number,gas_used,missing_reason
0x07ccccde9593deda8b3c4f82f6be99461aad59e309aad4c408766572b4786559,ModelSubmitted/AuditLogged,1,10,760819,
0xea8ab32229ff113d15e0befdedb6a47bb30ac5a8a55178db1991844eb371221b,ModelSubmitted/AuditLogged,2,11,743695,
0xadff0137a527c853d4a0cc057f314c5e53011fdc89ab715ac8f241e5f45e756d,ModelSubmitted/AuditLogged,3,12,717757,
0x484003a430b69a3f780a0275e71d21c532f253689108b66d1ce6002e13f54309,GlobalModelPublished,,15,449664,
0x0dae6db89ba0438a79760164a11feb11ad9caf4f2f4df501091a77fe94b5f3e9,RoundStateChanged:Open,,6,missing,gas not exported for lifecycle transaction
0x5d861abe1e6f63b6f19cd2b26898ae200b1473c131d2689cf9e97525a3906122,RoundStateChanged:SubmissionClosed,,13,missing,gas not exported for lifecycle transaction
0x770d005a0a0285f871f50701381add088395635013df126fe911011cad74ccd3,RoundStateChanged:AggregationStarted,,14,missing,gas not exported for lifecycle transaction
0x484003a430b69a3f780a0275e71d21c532f253689108b66d1ce6002e13f54309,RoundStateChanged:Published,,15,missing,gas not exported for lifecycle transaction
0xfcf0eaa3d6faf7213dc31f8785b633e5fccaf0269e355aaa7a8380d2f7c9ae4b,RoundStateChanged:Archived,,16,missing,gas not exported for lifecycle transaction
