scenario_id,seed,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adult_mlp,4001,joint_dirichlet_0.3,B0,1,0,5209,1303,True,False,0.4397544128933231,0.30659557592829106,0.0146814284268314,0.2,0.2,0.01688171472914546,,7.3448329931125045
adult_mlp,4001,joint_dirichlet_0.3,B0,1,1,1010,253,True,False,0.4031620553359684,0.34047475183426845,0.09294505773379014,0.04385964912280699,0.04385964912280699,0.04415683288922723,,1.5095419948920608
adult_mlp,4001,joint_dirichlet_0.3,B0,1,2,719,180,True,False,0.4,0.3993325917686318,0.11808755760368667,0.09233449477351918,0.09233449477351918,0.010368663594470029,,1.1826250120066106
adult_mlp,4001,joint_dirichlet_0.3,B0,1,3,501,126,True,False,0.46825396825396826,0.31891891891891894,0.0064759848893686245,0.0016339869281045694,,0.0026983270372368806,"equalized_odds_gap,false_positive_rate_gap",1.076042011845857
adult_mlp,4001,joint_dirichlet_0.3,B0,1,4,1660,415,True,False,0.3542168674698795,0.34089508367704924,0.27512254901960786,0.02122560766860665,0.6861313868613139,0.047549019607843135,,1.7995420203078538
adult_mlp,4001,joint_dirichlet_0.3,B0,1,5,2123,531,True,False,0.4218455743879473,0.3861780199339551,0.08065202587674491,,,0.017832822608103482,"equal_opportunity_gap,equalized_odds_gap",1.9830840174108744
adult_mlp,4001,joint_dirichlet_0.3,B0,1,6,1396,350,True,False,0.4657142857142857,0.37867266634389923,0.14359389220345842,,,0.12165031853574676,"equal_opportunity_gap,equalized_odds_gap",1.5208330005407333
adult_mlp,4001,joint_dirichlet_0.3,B0,1,7,1744,437,True,False,0.41189931350114417,0.3846250787649653,,,,,"comparison_groups,subgroup_accuracy_gap",1.7151250212918967
adult_mlp,4001,joint_dirichlet_0.3,B0,1,8,5949,1488,True,False,0.4657258064516129,0.31883157526820116,0.030734033183847487,,,0.03336100341151815,"equal_opportunity_gap,equalized_odds_gap",4.5162090100348
adult_mlp,4001,joint_dirichlet_0.3,B0,1,9,194,49,True,False,0.30612244897959184,0.253584229390681,0.02350427350427342,0.25,0.25,0.10256410256410253,,0.839374988572672
adult_mlp,4001,joint_dirichlet_0.3,B0,2,0,5209,1303,True,False,0.47352264006139677,0.32262137158377185,0.02187995546408439,0.2,0.2,0.024080241766398502,,3.5899160138797015
adult_mlp,4001,joint_dirichlet_0.3,B0,2,1,1010,253,True,False,0.4268774703557312,0.3520039566883931,0.10081207968531919,0.07017543859649122,0.07017543859649122,0.054307828955716286,,1.2924170005135238
adult_mlp,4001,joint_dirichlet_0.3,B0,2,2,719,180,True,False,0.3888888888888889,0.3861607142857143,0.11463133640553003,0.35365853658536583,0.35365853658536583,0.04608294930875573,,1.1107089812867343
adult_mlp,4001,joint_dirichlet_0.3,B0,2,3,501,126,True,False,0.46825396825396826,0.31891891891891894,0.0064759848893686245,0.0016339869281045694,,0.0026983270372368806,"equalized_odds_gap,false_positive_rate_gap",0.9842919826041907
adult_mlp,4001,joint_dirichlet_0.3,B0,2,4,1660,415,True,False,0.35903614457831323,0.3492076592934962,0.2556372549019608,0.03303663129065393,0.6496350364963503,0.00453431372549018,,1.616083987755701
adult_mlp,4001,joint_dirichlet_0.3,B0,2,5,2123,531,True,False,0.4444444444444444,0.4016547172045516,0.07341675178753831,,,0.03264385427306776,"equal_opportunity_gap,equalized_odds_gap",1.8828750180546194
adult_mlp,4001,joint_dirichlet_0.3,B0,2,6,1396,350,True,False,0.44857142857142857,0.37371939291111544,0.10415613307715649,,,0.03205581959753262,"equal_opportunity_gap,equalized_odds_gap",1.4690000098198652
adult_mlp,4001,joint_dirichlet_0.3,B0,2,7,1744,437,True,False,0.39588100686498856,0.37212643678160917,,,,,"comparison_groups,subgroup_accuracy_gap",1.6250000044237822
adult_mlp,4001,joint_dirichlet_0.3,B0,2,8,5949,1488,True,False,0.4959677419354839,0.33271467932037346,0.02898778129840157,,,0.03161475152607224,"equal_opportunity_gap,equalized_odds_gap",3.9784999971743673
