scenario_id,seed,partition,method,round,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
adult_mlp,4001,joint_dirichlet_0.3,B0,1,10,0,1.0,0.4214364640883978,0.3887096494548649,0.026180365962248597,0.09684489207195623,0.09684489207195623,0.006724193101284526
adult_mlp,4001,joint_dirichlet_0.3,B0,2,10,0,1.0,0.44353591160220995,0.4018170268170268,0.02821126124078477,0.0929111537092655,0.0929111537092655,0.0008966779241638689
adult_mlp,4001,joint_dirichlet_0.3,B0,3,10,0,1.0,0.46497237569060773,0.4140466105468481,0.021248191714375086,0.09913645076895222,0.09913645076895222,0.01353217121735173
adult_mlp,4001,joint_dirichlet_0.3,B0,4,10,0,1.0,0.4830939226519337,0.42229105911973086,0.027774286735495146,0.07905565303178835,0.07905565303178835,0.021999582857585964
adult_mlp,4001,joint_dirichlet_0.3,B0,5,10,0,1.0,0.4983425414364641,0.4285873704054458,0.029447535873801944,0.07720742040423845,0.07720742040423845,0.028669627664742292
adult_mlp,4001,joint_dirichlet_0.3,B1,1,10,0,1.0,0.4214364640883978,0.3887096494548649,0.026180365962248597,0.09684489207195623,0.09684489207195623,0.006724193101284526
adult_mlp,4001,joint_dirichlet_0.3,B1,2,10,0,1.0,0.44353591160220995,0.4018170268170268,0.02821126124078477,0.0929111537092655,0.0929111537092655,0.0008966779241638689
adult_mlp,4001,joint_dirichlet_0.3,B1,3,10,0,1.0,0.46497237569060773,0.4140466105468481,0.021248191714375086,0.09913645076895222,0.09913645076895222,0.01353217121735173
adult_mlp,4001,joint_dirichlet_0.3,B1,4,10,0,1.0,0.4830939226519337,0.42229105911973086,0.027774286735495146,0.07905565303178835,0.07905565303178835,0.021999582857585964
adult_mlp,4001,joint_dirichlet_0.3,B1,5,10,0,1.0,0.4983425414364641,0.4285873704054458,0.029447535873801944,0.07720742040423845,0.07720742040423845,0.028669627664742292
adult_mlp,4002,joint_dirichlet_0.3,B0,1,10,0,1.0,0.36662983425414364,0.3359250825033837,0.08868888930484287,0.07643316078999457,0.07643316078999457,0.03248050884243875
adult_mlp,4002,joint_dirichlet_0.3,B0,2,10,0,1.0,0.3867403314917127,0.3451784194065246,0.09895166228578,0.043839328641986086,0.05490167056359818,0.0198989410108929
adult_mlp,4002,joint_dirichlet_0.3,B0,3,10,0,1.0,0.41016574585635357,0.35620837947655926,0.08095459654395731,0.03859434415839855,0.03859434415839855,0.01096714646957575
adult_mlp,4002,joint_dirichlet_0.3,B0,4,10,0,1.0,0.4371270718232044,0.3690860930676123,0.0719784583379014,0.010440016733998136,0.023585289309609347,0.03760766151567091
adult_mlp,4002,joint_dirichlet_0.3,B0,5,10,0,1.0,0.46276243093922653,0.381521447316081,0.058830673159114,0.004689265889493172,0.011969966638554042,0.0591526661015635
adult_mlp,4002,joint_dirichlet_0.3,B1,1,10,0,1.0,0.36662983425414364,0.3359250825033837,0.08868888930484287,0.07643316078999457,0.07643316078999457,0.03248050884243875
adult_mlp,4002,joint_dirichlet_0.3,B1,2,10,0,1.0,0.3867403314917127,0.3451784194065246,0.09895166228578,0.043839328641986086,0.05490167056359818,0.0198989410108929
adult_mlp,4002,joint_dirichlet_0.3,B1,3,10,0,1.0,0.41016574585635357,0.35620837947655926,0.08095459654395731,0.03859434415839855,0.03859434415839855,0.01096714646957575
adult_mlp,4002,joint_dirichlet_0.3,B1,4,10,0,1.0,0.4371270718232044,0.3690860930676123,0.0719784583379014,0.010440016733998136,0.023585289309609347,0.03760766151567091
adult_mlp,4002,joint_dirichlet_0.3,B1,5,10,0,1.0,0.46276243093922653,0.381521447316081,0.058830673159114,0.004689265889493172,0.011969966638554042,0.0591526661015635
adult_mlp,4003,joint_dirichlet_0.3,B0,1,10,0,1.0,0.6645303867403315,0.5803144346979415,0.14731923605893119,0.1172254032081822,0.11779638600211464,0.13962104216079774
adult_mlp,4003,joint_dirichlet_0.3,B0,2,10,0,1.0,0.6795580110497238,0.5875724816416718,0.13351922019325815,0.1093891466285365,0.1093891466285365,0.13552671806075123
adult_mlp,4003,joint_dirichlet_0.3,B0,3,10,0,1.0,0.6888397790055248,0.5881964826064205,0.13105692122158555,0.10727242074766008,0.10727242074766008,0.1439707322899425
adult_mlp,4003,joint_dirichlet_0.3,B0,4,10,0,1.0,0.6983425414364641,0.5869341692789969,0.13240862308241505,0.11296073130069367,0.11296073130069367,0.1561208964283518
adult_mlp,4003,joint_dirichlet_0.3,B0,5,10,0,1.0,0.7065193370165745,0.5874463746194527,0.13111998281515866,0.10408172185347764,0.10408172185347764,0.1651921841059827
