metric,mean,std,minimum,maximum
label_entropy,0.8090630982375892,0.019078417209342488,0.7790369171885096,0.8533592572218709
group_entropy,0.9088785859953191,0.006548742640731536,0.899009595944974,0.9211294325608974
source_entropy,0.9999999930615605,,,
