scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,client_id,malicious_client,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,3,6,False,8685,2172,True,True,0.6818600368324125,0.590709358899295,0.12246820536975978,,,0.3254828073480923,"equal_opportunity_gap,equalized_odds_gap",3.6478339752648026
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,3,7,False,169,43,True,False,0.6976744186046512,0.6916712630998345,0.48,,,0.52,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",1.1071249900851399
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,3,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.9629580017644912
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,3,9,False,3320,830,True,True,0.8349397590361446,0.4949342406246808,0.008077037140414842,0.043795620437956206,0.043795620437956206,0.31439968831591747,,1.9013750134035945
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,0,False,2882,721,True,True,0.9625520110957004,0.49045936395759715,0.0,0.0,0.0,0.0752382295780829,,1.7077079974114895
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",1.0052910074591637
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,2,False,605,152,True,True,0.9144736842105263,0.47766323024054985,0.0,0.0,0.0,0.6577464788732394,,1.2365409929770976
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,3,False,1432,358,True,False,0.9441340782122905,0.5310453235525282,,,,,"comparison_groups,subgroup_accuracy_gap",1.2724170228466392
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,4,False,1224,307,True,False,0.7003257328990228,0.6862614413934063,0.4138242894056848,0.4601226993865031,0.4601226993865031,0.48199827734711453,,1.126500021200627
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,5,False,1093,274,False,False,,,,,,,,0.02387500717304647
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,6,False,8685,2172,True,True,0.679097605893186,0.5843507316289676,0.11681582666038624,,,0.32830899670277913,"equal_opportunity_gap,equalized_odds_gap",3.3745830005500466
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,7,False,169,43,True,False,0.6744186046511628,0.6655555555555556,0.44,,,0.56,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.9761660185176879
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.8267090015579015
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,9,False,3320,830,True,True,0.8349397590361446,0.500963315032542,0.008263117189726055,0.051094890510948905,0.051094890510948905,0.30957323703690776,,1.8400420085527003
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,0,False,2882,721,True,True,0.9625520110957004,0.49045936395759715,0.0,0.0,0.0,0.0752382295780829,,1.7297080194111913
