scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,1,updated,9,1,0.9,0.7695027624309392,0.512992457204228,0.02753541031037,0.06807864979113723,0.06807864979113723,0.17279522853254115
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,2,updated,9,1,0.9,0.7708287292817679,0.520975875275539,0.03176098274474361,0.07954893133441147,0.07954893133441147,0.16982420299504686
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,3,updated,9,1,0.9,0.7723756906077348,0.52891339223192,0.03565943708948685,0.09101921287768572,0.09101921287768572,0.1665260593679223
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,4,updated,9,1,0.9,0.7732596685082873,0.5344101174301593,0.03655990316591483,0.08529968217891643,0.08529968217891643,0.16622590400911297
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,updated,9,1,0.9,0.7756906077348066,0.5432538810802812,0.040812438331109466,0.09781271658976104,0.09781271658976104,0.16262760502317897
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,updated,9,1,0.9,0.7856353591160221,0.5939543064109567,0.05654820000374359,0.09894912989453834,0.09894912989453834,0.14891560798952508
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,updated,9,1,0.9,0.787182320441989,0.6016798537388113,0.06039272888684477,0.09948611640119137,0.09948611640119137,0.14763409836182473
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,updated,9,1,0.9,0.7887292817679558,0.6091926235254495,0.06322894077023386,0.10002310290784436,0.10002310290784436,0.14534427173441222
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,updated,9,1,0.9,0.7916022099447514,0.620985050268117,0.06731969955050231,0.09484055871572811,0.09484055871572811,0.14310837056864179
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,updated,9,1,0.9,0.7929281767955801,0.6266102168825365,0.06952863798545171,0.09224928661966994,0.09224928661966994,0.1421539790305718
