execution_id,artifact_type,cid,client_id,payload_bytes,retrieval_ms,round,upload_ms,verified
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,bound_manifest,bafkreifegjyjxd4epa4dtucb4d6qxzbihtfphf5kiwxwbroksaxm7daytq,3,340,2.21295899245888,1,32.37924998393282,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,proof,bafkreih656j6asefrzzsjbdjx3xkcpn3bnzwm5wcnw422d7tlfobs3akze,3,150,4.225832992233336,1,30.402416945435107,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,public,bafkreide534e45xwnt4yeupakzloso5mfvjjmpqdivlfcdhclnomiyoasy,3,321,1.716708007734269,1,31.58833400812,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,submission_manifest,bafkreiai7pbueww5ag44a6ixvypxxtuv4536p5ciyuzqa5idnjpejpsbve,3,545,1.9095410243608057,1,32.612500013783574,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,model,bafkreigdqleqcexujuytjvsmb3ng6kzkxeadhmksn7jkvjli5kuxsfignq,4,2000,2.2752080112695694,1,31.298624991904944,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metrics,bafkreifo2wketab4hcvaho46uzo4bhgxklo5y6wzuxmm7ex3awknzbfl7q,4,222,3.958375018555671,1,32.675832975655794,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metadata,bafkreidlkbv47ak663est4aqpiylecbjckyhakdffitugczppalrbanbze,4,91,2.050874987617135,1,32.81462495215237,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,bound_manifest,bafkreihkgasbxmxkxfwdjqvr23n7gaw4rb3ysteyrlr3dlw3jtrgxoyscu,4,340,2.4701670045033097,1,33.74158398946747,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,proof,bafkreiarhjmz55lltupnvdgik37i4v6jj42ozujwhnjzvycxxtnomyqtda,4,756,19.973249989561737,1,47.2206249833107,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,public,bafkreih4qcalejbxesufo3w26iyi4jmmdiz67efjpkj63wfaofknpdefri,4,314,0.6765000289306045,1,34.95112503878772,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,submission_manifest,bafkreidwqh2myrirk5uqchq3anmf63ptr6xba54hh6p4wdk7gv3obafywu,4,544,25.18462500302121,1,43.00229100044817,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,global_model,bafkreiamkka5kkdzlpuponkizdx4yjerofjoyep62wkmgxfjlfpop73lqa,global,2182,19.03241698164493,1,42.49945800984278,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,report,bafkreielvvlwmx7okldngzty7xxgjl7maj4ta4krqur4nhazaghdfxyzcq,global,1827,19.177000038325787,1,50.33512500813231,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,model,bafkreih2nwutdlcquueurcrocgw4vyhdqgqthewwzidy63fz6mfds7n6je,0,2212,22.11058302782476,2,55.79908296931535,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metrics,bafkreihb67uvkfycndiwylk7g3zwv43lmapjzedba27uuo4qurczalctku,0,207,22.793416981585324,2,54.70312503166497,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metadata,bafkreifuzxccxuglddhrffwime3iitw2q7u3uiticuylw5dtwc5q2nz7kq,0,91,2.0658329594880342,2,31.782083970028907,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,bound_manifest,bafkreie5goxq7pjow7vkfnmigbul4ksdpvj7vh6otqv6wkmyrtxomhzvkm,0,340,22.646082972642034,2,51.76566704176366,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,proof,bafkreidezp7rejq4sielbhgxkc5mfatkgngnls2u2n3p6yyktb4otml66q,0,124,18.40070803882554,2,52.907457982655615,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,public,bafkreihpk5cklyzzcqydnm3hw6w2estlecnhyuaucww3kjyukhmfa3uoxu,0,298,22.613624983932823,2,50.64174998551607,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,submission_manifest,bafkreicrwtb6ftnw266e3l5v3hjtekn3festhttu6qydjwimqh55txibdm,0,545,16.393124999012798,2,56.45079101668671,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,model,bafkreidndj6nnz3fx7ybq4sddu4vebkng4nx7u6ymtqox4snzpqpfg5wi4,1,2154,22.975708998274058,2,52.590792009141296,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metrics,bafkreifo54nhg5ed4qrbsgi7x2gru6xej5g7wtrkelxrwejerw2yxcrax4,1,223,22.176540980581194,2,51.789040968287736,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metadata,bafkreiewk6zf35wsftpa3jn6l2pkgk6qzsww4vcvfbljsrgkpdkkzmhjzq,1,91,2.066875051241368,2,27.508875005878508,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,bound_manifest,bafkreihrmxn4ag7cpga3ikea7mkmjce3pvxgys6gbzebp7dsxjpdeqmpfm,1,340,22.68062502844259,2,49.02804200537503,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,proof,bafkreico5f6zivxwzm7fu27axswc2pfvg6a472t5bz2fhtiz3f5u4hfk3a,1,757,20.34733397886157,2,46.491459012031555,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,public,bafkreiblpgf7vwvwv7tlcbj2d2jgk5avydb6wbhpcnbjv535rngllas7oy,1,321,23.4085830161348,2,52.91504197521135,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,submission_manifest,bafkreigiazekkqqn5c43k3vfyca4o5zpg4x6bk5okk5uf3ku57hrmkumvq,1,544,24.642249976750463,2,54.189582995604724,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,model,bafkreiexnav7nkw6pnevbeexdbp2gzfyugiygl64tjamw3hkrmgarg46jm,2,2269,19.156374968588352,2,54.40287495730445,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metrics,bafkreiejbaus6xtb7vpu5wt6w7qdxanhtnz7k2uwghpqnbtjoijvaou6au,2,218,1.9414580310694873,2,32.14737499365583,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metadata,bafkreiaimftgdtz44askvfbairrsnrwqtagisn2zf2jbfuwmaeyih3ix2m,2,91,2.4050840293057263,2,30.18120798515156,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,bound_manifest,bafkreiaaswij4o6dxhgvngwqan3q3i4ik2o76gl5mhfzgcubthv7bhw2wm,2,340,18.299791030585766,2,53.762791969347745,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,proof,bafkreibdl4tf7sfjxkdicddkyjny5oia7hoa6oen5k5uakgwshjk36eyaa,2,154,2.042165957391262,2,32.98100002575666,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,public,bafkreihgsbvtqjkc7i65nmrfhtqytkeu5nttsqkf7lzgrnxlfoco7uxoce,2,302,22.247582965064794,2,54.568582971114665,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,submission_manifest,bafkreieqnkk72n2xg3worxw3yylu4rbxzacml7t6edktxhz47ho57pd5g4,2,545,21.206874982453883,2,51.87695799395442,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,model,bafkreigmhnlrw37kw3hnvuqwkfagaj263ffjdd7sobctc6imieejcqr7bq,3,2243,22.32720801839605,2,51.77291703876108,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metrics,bafkreihfrazxbcx34todshqvqcdsjw2f4s3rxr5ni6iuiknpzraymkunfe,3,225,20.36516700172797,2,55.89866696391255,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,metadata,bafkreihjr3scpuwgf6hwibjgdt2csrbmlguqitr6ap5xzqb7uq5qartqti,3,91,2.0177910337224603,2,34.7652499913238,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,bound_manifest,bafkreiazy535aoe6izq6w34ujfor3r4xzgdy6g24jtoveaqkjrd4i3d7qi,3,340,18.12362502096221,2,53.701666998676956,True
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,proof,bafkreihqdsipzopfdgkmcfqcknr2lsfl7kbzp336d6qjjfqiyuzdb7jhre,3,150,18.40604201424867,2,54.578542010858655,True
