method,attack_type,n,accuracy_mean,accuracy_min,accuracy_max,accuracy_delta_vs_none_mean,equalized_odds_gap_mean,runtime_ms_mean
B4,none,3,0.7571491810535634,0.7565073041168658,0.7575033200531208,0.0,0.007939141877316876,16877.30997201288
B4,label_flip,3,0.7252988047808765,0.6595617529880478,0.7594289508632138,-0.03185037627268702,0.04256310572836589,13822.136583641017
B4,sign_flip,3,0.4661797255422753,0.2456839309428951,0.7567065073041168,-0.2909694555112882,0.06319197630400622,16459.169985998113
B4,random_weights,3,0.5256086764054891,0.4059760956175299,0.7400398406374502,-0.23154050464807438,0.07904199825241463,14819.520958330637
B7,none,3,0.7767153607791059,0.7571049136786189,0.8126826029216467,0.0,0.04225799431183027,16052.629041310865
B7,label_flip,3,0.5929836210712705,0.3637450199203187,0.7566401062416999,-0.18373173970783532,0.0552417868503251,15062.91284734228
B7,sign_flip,3,0.45586542718016815,0.2456839309428951,0.7603585657370517,-0.3208499335989376,0.020670483421612873,16956.213736343972
B7,random_weights,3,0.6395750332005312,0.5203187250996016,0.7598273572377158,-0.13714032757857456,0.08563267368473508,16626.416069319628
