execution_id,round_id,round_state,node_id,approval_status,model_cid,tx_hash,gas_used
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,1,Archived,4,Rejected,bafkreieroyxwxa7frlewi7qff55kqposhngtsz5khewad4qxuhcwsioenq,0x1a7c1bf59d5f32a501bab85024adb67ed32c2207736b6fa26d8ba35b72ade01d,1115307
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,1,Archived,5,Approved,bafkreigdqleqcexujuytjvsmb3ng6kzkxeadhmksn7jkvjli5kuxsfignq,0x636c44af02d2a5ab0dc2875fe4f032c5cd3dac33447f92564cc33f523cc8abbe,1140905
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,2,Archived,1,Rejected,bafkreidzetsayrd6tyb7fmy3j6kxivyjcxojjtjqe3clluwlnxoyajj3d4,0x806d527cd410ed93b5cbad5ecd4040318f35802318c698826f4693dca3521025,1132214
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,2,Archived,2,Approved,bafkreicbbmgnbrkng75l2lkksapb3b47zgcyrkomjsysv7vtfnbpi6e54y,0x29c42b4fb84fffdf61659bdc0b6c63c085ddd32f64f309d356938cd5555a7c42,1140954
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,2,Archived,3,Rejected,bafkreigmpzhetsbkdcrxxbwpbo66hhgfqhsh3u4qxtkjupum75orws2y5m,0x7c12433dcdd5a262189c564ad94a4239bb73d7378145437a7ab940a98e4d63e7,1115175
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,2,Archived,4,Rejected,bafkreicoi5noyipa4fzpqafu74ymo5ywkuvqm2tyyfemhw26fe7uspgnyi,0x37604d0803948a384f9ea18cd160e8fb73b82cbe1e3af103f1c05762e8546966,1115282
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,2,Archived,5,Rejected,bafkreicd74rxsrd2s5ggikvqowk4nwngl4ak5xkbd4krv2xa3gp6rfd73m,0x76a1e5bd03707d850a3d48b9c56648c057ca716eb993dbb62976d805157e5275,1115235
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,3,Archived,1,Rejected,bafkreibxfaigurqxqpwm6njxfq743okce5ocex6mmv25blnwsqcv4y6asu,0xac32149a015ad715af84f59ec98b1a0d729fb2732b4bd56cfd244a74cb561533,1132286
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,3,Archived,2,Approved,bafkreif454das7wljblqdvtlqc3jzfyvlsbnezbf5gfao5zb2hjeg65xsy,0x56363d6c18c2aa193526396b2b96faec5fca7cf4c3234151f6a5991d754ddfe5,1140929
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,3,Archived,3,Rejected,bafkreibe4uuhlczyitrhsghg7u27a4qcgbytojrkeqecvukgg77h7noe24,0x72b0dbb1b682cc8ce5046aa511a705fc9ccf07df89f5d3d0b05af48b6999503d,1115163
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,3,Archived,4,Rejected,bafkreigjv4jypybhexrc5z73lgarajyghbvc243d2gvo5gidvjcupwrdxq,0xb2c7934278e383796cab51d369470352215fa4e9f0de30368b577e899426aa87,1115295
seed_10001-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,3,Archived,5,Rejected,bafkreie52srfmj5s5sj3pfjlzbexifcsbpywuzrnitrdtbpqe6lo62abyq,0x0be49fc36361558abbeb5a84d618b8ed839dac4a755ce98a85439a2eda96cbb8,1115235
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,1,Archived,1,Approved,bafkreicnamfc5o6hsajrjg4zt4nkxh2bavwmxxnviwgzbhup2lg6jxan5e,0xeacfc9d5ee8f4efc6fb39dded02fccca08ddb693e9b3240ad3dedc6e8d03cb98,1157921
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,1,Archived,2,Approved,bafkreihad5yl43jkaplk7otznk3ggjbq7sifwfchcdtt5zzrjl5hkvfala,0x0da70bf298e9d0da27a4e00b03d4c8eb4b12c5b4acdb4e4dd6482e211aa77217,1140966
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,1,Archived,3,Rejected,bafkreiccsllbn2biroz2lxagy3bd4lugpe3wtuw2xu2bzf32r2y2w6hifu,0x72ef4255ac594a94ea53cf433194ea762bfd81d9b19ca601fad8b6088a6f3d5c,1115163
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,1,Archived,4,Rejected,bafkreieroyxwxa7frlewi7qff55kqposhngtsz5khewad4qxuhcwsioenq,0xa8d72481ef18311237e538689eb95d255e0366266afe57e13f4f49ed44c4cd85,1115307
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,1,Archived,5,Approved,bafkreigdqleqcexujuytjvsmb3ng6kzkxeadhmksn7jkvjli5kuxsfignq,0xfe78608cc6b44d953215075398014539bc2518b96192b9d9941ab3906c3f0a17,1140918
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,2,Archived,1,Approved,bafkreidlvhuhkfvced75grkfdsxfml76i72ggvdd7tk566fhbq5oix64mi,0x710d98b4b39b3d0a1845562a78eae67bcb2f07d612457da2a9b70e229727474e,1157934
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,2,Archived,2,Rejected,bafkreidp6irer2p57dcznqy3qmkj4lahs3vpvmwa7ehhrhs36v4ewf7czu,0xb88e19e46ba4d57aeb4ed64c083ff4fe56c46138d65bf4d27945644bf1c55a3c,1115295
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,2,Archived,3,Rejected,bafkreihb3ofk2lrle6wh546fardtn3tze23no4iyes5gmiaxir7nreorhu,0xde14cec526bcf7870b65cf4634570cc4768b92aedbb7d661b777ede5e8cabc36,1115151
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,2,Archived,4,Rejected,bafkreieiivptndvsdukbkffatie3zkdzrlpmsbl3ldixn4uwelmrj5ugsq,0x907f328a151d6be56d690ce2da52a598bb3b0db890cc37eab41bad52fbdca2de,1115282
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,2,Archived,5,Approved,bafkreid43w2zfcgegdmszqoa6p6xs5ke2p7q473nx53wdqgaeqe6yhb6gi,0xb30b46f088e9eea66bffde33a03719d5989dbcd37caff6c0a99647a37999354a,1140869
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,3,Archived,1,Approved,bafkreieub62hvjk5z3t7uaoxrqidclqklpnjgkhcfiftz2s5sckn546hre,0xa50f34d992689dd9ab0cce067791b04fcf992c749dbf04c23d1a0374eed755d5,1157946
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,3,Archived,2,Rejected,bafkreibvg4euyh4chq3nzcb7dc2sxbgoozjsk5vn46hyi4gj454gnv7nne,0x72184c167bf06128519997bdeb4f25eb18ba3bb39ed8460678253b3af8462688,1115270
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,3,Archived,3,Rejected,bafkreiapfhyrrazidy6txvwpft5afqv3fbpvlgnrtw6crfgadh4ki26uby,0x760131a9842ed82b1effab6de9233c3c6f07903e708a254f30838f56ea0faa25,1115163
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,3,Archived,4,Rejected,bafkreiakmdkjpkzpafwkagmupyjdkwpbbmxo3gel4r6akddnlnxuwc3hyy,0x9820f864084ce5f967ed03b2af0fe686dfae3af5d56bb1a8db3da5fd5c8c3e05,1115295
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B4,3,Archived,5,Approved,bafkreif7zzeq2uqpmliaygzdhbc3vp3bswyj27jyvhnyx2w66ucoczmju4,0x9b5d1524174284eaf0a0447d7a206258949212b51dcc3da0e3a2ae56fcefe1ef,1140882
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,1,Archived,1,Approved,bafkreicnamfc5o6hsajrjg4zt4nkxh2bavwmxxnviwgzbhup2lg6jxan5e,0x02b35a15204c10e58a42dba3355d01560ad65e0396a6137b69cc549cbf26998a,1157946
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,1,Archived,2,Approved,bafkreihad5yl43jkaplk7otznk3ggjbq7sifwfchcdtt5zzrjl5hkvfala,0x745880acfd4eb37ba60e8451ffee862ce75d6958585159cff59ed57d949fa22f,1140954
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,1,Archived,3,Rejected,bafkreiccsllbn2biroz2lxagy3bd4lugpe3wtuw2xu2bzf32r2y2w6hifu,0xf8896d77a873eac8ef7ab20345bff5fb01c0610b736d73b7a39cac427b943be5,1115138
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,1,Archived,4,Rejected,bafkreieroyxwxa7frlewi7qff55kqposhngtsz5khewad4qxuhcwsioenq,0xd20c8c190587c136e8947ed718ab55a8546a0149c691866410f93715b2892489,1115295
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,1,Archived,5,Approved,bafkreigdqleqcexujuytjvsmb3ng6kzkxeadhmksn7jkvjli5kuxsfignq,0x568c30df6e756fd65e639882799f9db90c062c589c6058689fa2ad35c0129492,1140906
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,2,Archived,1,Approved,bafkreic4j6un7rtzom5ncchekrnkvzow7qvb6na5jqdqawbqyuvou4kdom,0x0be1043fab472f45e3c0e5ec13b5681e2f6e653577da839218db6b3e36e8e92b,1157958
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,2,Archived,2,Approved,bafkreidw4ru4abnp64eq7dfs6z6mlm2x2evtz6jdvqo2nuuwwlvojjwqcu,0x991bfb3cc67eacebc72f046217666e1fac95eb132ec9cca82d0f37e967fd63b4,1140965
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,2,Archived,3,Rejected,bafkreicyh2kapxfc4fekaqqdn7j55ldw444scuqhajntuwmk33m2ohakw4,0x7d94aa194b8fb4955fa770b89170126266595c7364c6d42da68518c131096477,1115150
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,2,Archived,4,Rejected,bafkreig7qpikxwu5fw7z7qbi7blbh2kazg7srsnczfo3ensmfo7puafvwu,0x65963e2910b47592784ace5006ad82f4e6bf3760fd53a6a2679dac8b2a98618b,1115282
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,2,Archived,5,Approved,bafkreibuqghkexu6sopu6uhxyfymda5qk6hq36wpeak6cxylqo6ljlsxry,0xf8edf6a8600a52dc3bd4b5909ea2f7303cd016d5930cd273819af904f1f2cf0d,1140869
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,3,Archived,1,Approved,bafkreiak426l35gmyqhae7myo63lyim6k5euncx4vgyjhmmtwt5d5wgghy,0x4de46048851d1fe9ba2a5e93205682cead489c1a135ca6f0c41165f2a74e3505,1157945
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,3,Archived,2,Approved,bafkreigdvnez6w6wkaoz357tz4dxlrkt6lizb54hca5xqgvpogyfjtn6eq,0x0ccd70b0650c68b92317e7bc29d0b81d3c0ec37227accef3694a0895d0aed7cd,1140966
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,3,Archived,3,Rejected,bafkreib7uaxb74jwsf3jrqpoxyknz4jucztshfd5etmcavpzziehq2ffyu,0x19744e9ad51e23200291689bdadf7ed46c9d14a11cee0d909f052caf4aa1eb05,1115151
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,3,Archived,4,Rejected,bafkreidb6lpoz4l4xwx2cqjtko375wf5q7ze4iigpgqcwpzyhw2b6zxfbe,0x5555122a027118e4dcc00b591e8325d38c35c86611b1cf876264fa725a3226a8,1115282
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,3,Archived,5,Approved,bafkreihqlyh5w7rx46fmunnfx5m2xrvgwrgrsx67ofxy4dbjc22t4blvry,0x9680c925d48414dd67504a129a525fa2ba335830e0e4899f3b028bf4088f5595,1140881
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,1,Archived,1,Approved,bafkreieqwqnirpc5yy44oxbpde5au4vxguhbrn6lz3x6hmch6jvyqqmrre,0x5313d48ee76cb96fda05c301153c9c2191402ef76c3015875c16e5baadb25bf3,1157933
