execution_id,approved,client_id,proof_ms,round,verify_ms,witness_ms
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,1,257.908999978099,2,213.51395803503692,55.57583301560953
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,2,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,3,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,4,255.2002920419909,2,220.31658404739574,58.43749997438863
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,0,259.60312504321337,3,212.41149998968467,57.47320904629305
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,1,255.97508304053918,3,215.54174995981157,58.4670000243932
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,2,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,3,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,4,261.34087500395253,3,214.10724997986108,53.33558301208541
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,0,267.37954100826755,1,221.62845800630748,53.71804203605279
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,1,259.58566705230623,1,214.4533750251867,58.536916971206665
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,2,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,3,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,4,261.3543749903329,1,220.12175002600998,61.8887500022538
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,0,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,1,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,2,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,3,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,4,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,0,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,1,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,2,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,3,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,4,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,0,256.7840000265278,1,224.2209580144845,62.61333299335092
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,1,257.0930829970166,1,217.50283398432657,58.26729105319828
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,2,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,3,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,4,257.432832964696,1,216.5215840213932,57.66929197125137
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,0,260.40254201507196,2,216.98016597656533,56.51320901233703
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,1,260.4425839963369,2,214.22195801278576,56.516332959290594
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,2,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,3,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,4,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,0,256.3942080014385,3,224.21270800987259,59.16437500854954
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,1,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,2,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,3,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,4,256.56495796283707,3,220.41050001280382,58.49775002570823
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,0,254.10958303837106,1,216.87304199440405,59.524791955482215
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,1,255.8968749945052,1,220.06108396453783,58.52212500758469
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,2,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,3,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,4,266.5658330079168,1,215.56329203303903,63.31004196545109
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,0,257.9840829712339,2,214.66204203898087,59.9701669998467
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,1,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,2,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,3,256.25516701256856,2,217.41258300608024,59.75570797454566
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,4,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,0,256.02637499105185,3,216.02708398131654,59.462042001541704
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,1,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,2,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,3,261.74037501914427,3,215.0288749835454,46.2169999955222
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,4,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,0,258.99233302334324,1,215.4676669742912,64.17337502352893
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,1,260.33150003058836,1,213.61224999418482,40.748000028543174
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,2,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,3,0,1,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,4,257.20400002319366,1,215.6115840189159,57.92020802618936
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,0,283.24749995954335,2,225.19650001777336,63.03791701793671
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,1,264.1262499964796,2,224.2001669947058,55.71883299853653
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,2,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,3,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,4,0,2,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,0,252.1758339717053,3,218.56008400209248,39.92629103595391
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,1,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,2,0,3,0,0
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,3,255.70733298081905,3,215.904250042513,56.78537505446002
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,4,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,False,1,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,2,259.25462500890717,1,222.01012499863282,63.6047919979319
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,3,261.3729160511866,1,218.12325000064448,59.53387496992946
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,4,256.60516700008884,1,214.78395798476413,56.858957977965474
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,False,1,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,2,258.1739170127548,2,217.36545802559704,58.7930409819819
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,3,257.36520800273865,2,215.48670902848244,58.26033296762034
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,4,265.57491696439683,2,214.57441698294133,57.00520804384723
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,1,270.6257500103675,3,217.80691697495058,58.625707984901965
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,2,259.90474998252466,3,216.20237501338124,56.98945902986452
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,False,3,0,3,0,0
