suite,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
mlp,B0,accuracy,5,0.5513545816733068,0.1107225679923275,0.4915006640106241,0.4683930942895086,0.6406772908366534,0.4557768924302788,0.6969455511288181,,,,
mlp,B0,macro_f1,5,0.4714403389323648,0.08081789184180187,0.4380336669079313,0.41053816780260155,0.5373823171217716,0.3845382344268267,0.5761408961408961,,,,
mlp,B0,demographic_parity_gap,5,0.09583736617017846,0.057163675920986326,0.0921283511377258,0.05409806196960848,0.14198751184776942,0.0402170327009167,0.1815480561132986,,,,
mlp,B0,equal_opportunity_gap,5,0.08278703179560058,0.054368113636859804,0.0821385873026662,0.04005435692208208,0.1255197066691191,0.0275731713516857,0.150548567361513,,,,
mlp,B0,equalized_odds_gap,5,0.09854627138151603,0.06799643909721421,0.0931525944245948,0.049321017345895876,0.15466956249449654,0.0275731713516857,0.2006711106705915,,,,
mlp,B0,subgroup_accuracy_gap,5,0.08367821038067899,0.053926852426281154,0.0808031362941956,0.042602495604457724,0.12482798004686294,0.0311932804745611,0.1588726325498382,,,,
mlp,B0,runtime_ms,5,106.92588319652714,5.400052784425717,104.75175001192838,102.83851638669148,111.2677164026536,102.24324997398072,114.35208300827072,,,,
mlp,B1,accuracy,5,0.5513545816733068,0.1107225679923275,0.4915006640106241,0.4683930942895086,0.6406772908366534,0.4557768924302788,0.6969455511288181,,,,
mlp,B1,macro_f1,5,0.4714403389323648,0.08081789184180187,0.4380336669079313,0.41053816780260155,0.5373823171217716,0.3845382344268267,0.5761408961408961,,,,
mlp,B1,demographic_parity_gap,5,0.09583736617017846,0.057163675920986326,0.0921283511377258,0.05409806196960848,0.14198751184776942,0.0402170327009167,0.1815480561132986,,,,
mlp,B1,equal_opportunity_gap,5,0.08278703179560058,0.054368113636859804,0.0821385873026662,0.04005435692208208,0.1255197066691191,0.0275731713516857,0.150548567361513,,,,
mlp,B1,equalized_odds_gap,5,0.09854627138151603,0.06799643909721421,0.0931525944245948,0.049321017345895876,0.15466956249449654,0.0275731713516857,0.2006711106705915,,,,
mlp,B1,subgroup_accuracy_gap,5,0.08367821038067899,0.053926852426281154,0.0808031362941956,0.042602495604457724,0.12482798004686291,0.0311932804745611,0.1588726325498382,,,,
mlp,B1,runtime_ms,5,105.59801639756188,2.367637747442193,106.0402909934055,103.64369140588678,107.29739139205776,101.96091700345278,107.9248329915572,,,,
scaling,B0,accuracy,5,0.7720185922974767,0.00024215913052867086,0.7721115537848605,0.7718061088977424,0.772191235059761,0.7716467463479416,0.7722443559096945,3.0,,,
scaling,B0,macro_f1,5,0.5124043257702461,0.001526279182956418,0.5131105222550076,0.5111886115932351,0.5135624850733629,0.5103936744234694,0.5137553974769848,3.0,,,
scaling,B0,demographic_parity_gap,5,0.02574760425370094,0.0002517394093754386,0.025772858900882,0.025543669467338097,0.025938267813236937,0.0254108488788992,0.0260685127887306,3.0,,,
scaling,B0,equal_opportunity_gap,5,0.03295436954595744,0.0010962510610664018,0.0331133961023642,0.03209080507765392,0.033713401471795315,0.0312272406093504,0.034067898170452,3.0,,,
scaling,B0,equalized_odds_gap,5,0.03295436954595744,0.0010962510610664018,0.0331133961023642,0.03209080507765392,0.033713401471795315,0.0312272406093504,0.034067898170452,3.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17886095764137724,0.0003998982399840688,0.1788279761553605,0.17856220318894175,0.17919474424113307,0.1783223416108866,0.1794128448986947,3.0,,,
scaling,B0,runtime_ms,5,36.31466659717262,2.10135528668807,35.67079099593684,34.96707500307821,38.22116659139283,34.42712500691414,39.92141698836349,3.0,,,
scaling,B0,accuracy,5,0.7719123505976095,0.0007898656874747801,0.7720451527224436,0.7712483399734396,0.7725099601593626,0.7707171314741036,0.7729083665338645,5.0,,,
scaling,B0,macro_f1,5,0.5119177554098554,0.004185130794915424,0.5124640815663627,0.508530653700606,0.515121900618281,0.5059314950480023,0.5172081513282466,5.0,,,
scaling,B0,demographic_parity_gap,5,0.02551108114342206,0.0013594594363138248,0.0258649711644685,0.024379476368660898,0.02645756674663834,0.0233477106963219,0.0270347086511368,5.0,,,
scaling,B0,equal_opportunity_gap,5,0.032318034833898876,0.0030004554352477536,0.0315454079653797,0.02997273585654702,0.03466333381125074,0.0291817158302825,0.0359769023066276,5.0,,,
scaling,B0,equalized_odds_gap,5,0.032318034833898876,0.0030004554352477536,0.0315454079653797,0.02997273585654702,0.03466333381125074,0.0291817158302825,0.0359769023066276,5.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17901863971489648,0.0008630797890138745,0.1787487419565002,0.17846288903816118,0.17979377885566597,0.178217351282574,0.1804904701217765,5.0,,,
scaling,B0,runtime_ms,5,40.23700000834651,1.5172274079517973,40.339666011277586,38.91883339965716,41.21833340614103,37.74274999159388,41.73666701535694,5.0,,,
scaling,B0,accuracy,5,0.7712749003984064,0.0003170607273921356,0.7712483399734396,0.7710358565737051,0.7715139442231076,0.7708499335989376,0.7716467463479416,10.0,,,
scaling,B0,macro_f1,5,0.5087339733906239,0.0018103647528923265,0.5087216985316838,0.5073586607804075,0.5101078611124559,0.5064244474568529,0.5110037594331038,10.0,,,
scaling,B0,demographic_parity_gap,5,0.024643436576965418,0.0008524226056169903,0.0246224385113029,0.02399686144311628,0.02529001171081454,0.023544813288221,0.0257000637343848,10.0,,,
scaling,B0,equal_opportunity_gap,5,0.03173162440714908,0.0016197589613579475,0.0314088873224874,0.03056348752549764,0.033113396102364155,0.0298180505423411,0.034067898170452,10.0,,,
scaling,B0,equalized_odds_gap,5,0.03173162440714908,0.0016197589613579475,0.0314088873224874,0.03056348752549764,0.033113396102364155,0.0298180505423411,0.034067898170452,10.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17978347640388503,0.0004485366903143636,0.1798991623460792,0.17941026928574938,0.18009884055092357,0.1791107519784829,0.1802933675298774,10.0,,,
scaling,B0,runtime_ms,5,51.466658199205995,0.8063588120388948,51.766290998784825,50.84150819457136,52.09180820384063,50.46274999040179,52.208582987077534,10.0,,,
scaling,B0,accuracy,5,0.7716069057104914,0.0005365764635016481,0.7715803452855245,0.7711819389110226,0.7720318725099601,0.7710491367861886,0.7722443559096945,20.0,,,
scaling,B0,macro_f1,5,0.5099549348976337,0.0025549617467676873,0.509741334007321,0.5080242264572318,0.5119298933897101,0.5075749816901338,0.5135955540789185,20.0,,,
scaling,B0,demographic_parity_gap,5,0.02483410013650142,0.000803184206754027,0.0249180923991515,0.02421109868126006,0.025457101591742783,0.0238340281437066,0.025772858900882,20.0,,,
scaling,B0,equal_opportunity_gap,5,0.03163166159331582,0.0017237011422872681,0.0314088873224874,0.0302544596267331,0.03300429383126616,0.0292953878300129,0.034067898170452,20.0,,,
scaling,B0,equalized_odds_gap,5,0.03163166159331582,0.0017237011422872681,0.0314088873224874,0.0302544596267331,0.03296796448863876,0.0292953878300129,0.034067898170452,20.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17947197567626433,0.0006417960736957832,0.1795113961946441,0.178962084550272,0.17998186680225672,0.1788215371229974,0.180201255266291,20.0,,,
scaling,B0,runtime_ms,5,70.32739180140197,4.396858774891959,68.34991698269732,67.58465020102449,74.29946680204011,67.36587500199676,77.81554199755192,20.0,,,
heterogeneity,B0,accuracy,10,0.7744023904382471,0.00021967057593269383,0.7743691899070385,0.7742695883134132,0.7745285524568393,0.7739707835325366,0.7747675962815405,,iid,,
heterogeneity,B0,macro_f1,10,0.5232109916885747,0.0009045349023861566,0.5230109767957762,0.5226801022147078,0.5237486876124997,0.5216270695103296,0.5248642040504005,,iid,,
heterogeneity,B0,demographic_parity_gap,10,0.027768190662596635,0.00034037918254368403,0.02777160675982855,0.027570444167461274,0.027966581060968325,0.0271802989841313,0.0283757926002519,,iid,,
heterogeneity,B0,equal_opportunity_gap,10,0.02610737377124277,0.0013310547147281262,0.026523276198397,0.02525060677427992,0.02678460755456109,0.0228189399257761,0.0276822736227837,,iid,,
heterogeneity,B0,equalized_odds_gap,10,0.02610737377124277,0.0013310547147281262,0.026523276198397,0.02523015723865003,0.026773240354588057,0.0228189399257761,0.0276822736227837,,iid,,
